Token                          Frequency
-----------------------------  ---------
to                                     1
evaluate                               1
risks                                  1
regulations                            1
integrity                              1
reliability                            1
compliance                             1
must                                   1
controls                               1
of                                     4
organization                           1
effectiveness                          2
laws                                   1
contracts                              1
2130.a1                                1
safeguarding                           1
adequacy                               1
internal                               1
activity                               1
financial                              1
systems                                1
information                            2
with                                   1
•                                      4
responding                             1
audit                                  1
operational                            1
the                                    4
regarding                              1
in                                     1
and                                    7
assets                                 1
efficiency                             1
within                                 1
operations                             2
governance                             1

Totals:                     36        54
