Token                          Frequency
-----------------------------  ---------
analyzing                             24
plastic                                7
placing                                3
holding                                5
developed                              3
graphoanalysis                         1
logos                                  1
furnish                                3
materials                             14
typeface                               2
event                                  1
ribbon                                 9
advanced                               1
right                                  1
jet                                    1
smudges                                1
impressions                            3
copycat                                1
essential                              2
differentiate                          1
answer                                 1
partial                                1
few                                    1
3                                      1
2                                      1
uncontrolled                           1
fed                                    1
touch                                  1
native                                 1
5                                      1
4                                      1
instruments                            4
relies                                 2
relying                                1
moral                                  1
comparing                              2
made                                  12
john                                   1
biggest                                1
fraudulent                             3
erasures                               2
inquiry                                2
aesthetic                              1
preventive                             1
times                                  3
usually                               14
reacts                                 1
lucrative                              1
trial                                  2
ned                                    1
sophisticated                          1
f                                      1
experts                               16
g                                      1
c                                      1
confused                               1
a                                    180
mistaking                              1
taking                                 8
i                                      1
w                                      1
new                                    4
including                              5
t                                      1
days                                   1
r                                      1
accurately                             1
library                                1
having                                 3
pre-interview                          1
sizes                                  3
change                                 6
lead                                   1
capital                                4
hitler                                 1
personnel                              1
basic                                  3
updated                                1
description                            1
internationally                        1
cellophane                             1
processing                             1
guilt                                  2
amazingly                              1
retained                               1
involves                               1
fax                                    3
label                                  3
preferred                              2
much                                   4
mislead                                1
involved                               3
particularly                           1
miscellaneous                          1
often                                 14
revised                                1
contemporaneous                        2
areas                                  2
orders                                 2
restored                               1
make                                  15
room                                   1
justice                                1
cumulative                             1
texas                                  1
occasion                               1
organize                               1
through                                7
drawers                                1
education                              2
palms                                  1
business                               8
possible                              20
following                              6
especially                             7
trained                                3
whiteness                              1
alike                                  3
noticeable                             1
laboratory                             2
shadows                                2
torn                                   1
main                                   1
outcomes                               1
expected                               2
entire                                 1
which                                 15
inside                                 1
peers                                  1
adding                                 1
counterfeiting                         2
accessed                               1
made—preferably                        1
suspicious                             2
inference                              1
diverse                                1
layers                                 3
daisy                                  1
substrates                             1
help                                   3
limiting                               1
recently                               2
report                                 3
mechanical                             2
influenced                             2
reported                               1
element                                4
preparation                            4
identify                               4
job                                    1
bonds                                  1
health                                 1
counterfeits                           3
session                                1
cardboard                              2
post-dates                             1
filters                                1
upon                                   3
repositories                           1
assistance                             1
vehicle                                1
clipboards                             1
easily                                 2
concentrating                          1
anonymous                              2
acquisition                            1
destroyed                              1
long-                                  1
636-1100                               1
rather                                 4
powders                                1
identifying                           11
note                                   3
september                              1
typewriters                            8
water                                  1
held                                   1
true-name                              1
unknown                                1
wrongdoer                              1
truly                                  1
apply                                  1
single                                 1
marks                                  7
emulate                                1
handwritten                            6
contains                               1
progresses                             1
where                                  7
chemicals                              1
disinformation                         1
inserted                               1
rare                                   1
action                                 2
obscure                                1
writes                                 2
writer                                 9
dirt                                   1
formulations                           1
authentic                              1
contract                               1
easier                                 1
damage                                 2
here                                   1
filing                                 1
dictate                                1
involving                              4
gently                                 2
dictations                             1
non-identity                           2
coordinated                            1
manipulate                             1
females                                1
while                                  1
sight                                  2
alibi                                  1
allows                                 1
corresponding                          3
discolor                               1
develop                                3
relevant                               5
unintentional                          1
major                                  1
typewriting                            6
into                                   8
multicolor                             1
instrument                             2
innocuous                              1
grammar                                1
identification                        12
scientific                             4
fabricated                             4
estate                                 1
faint                                  6
limited                                1
writings                              56
understand                             1
appear                                 3
treatment                              2
maintain                               1
etc                                    3
conducted                              2
its                                    4
production                             1
deleting                               1
exactly                                4
although                               5
permanently                            3
signs                                  2
nowhere                                1
relatively                             1
ribbons                                3
deposited                              3
under                                  2
styles                                 6
suggest                                1
system                                 4
bottom                                 1
documentary                            5
photo-reproduction                     1
sort                                   1
glasses                                1
minimum                                2
elimination                            1
exposed                                1
fingerprint                           14
substance                              1
significant                            3
absorbed                               2
written                                3
—                                      4
relevance                              3
sensitive                              3
consulting                             2
•                                     52
documents                            117
esda                                   1
young                                  1
distinguishing                         1
originals                              2
narrow                                 1
printed                               10
world                                  1
eliminations                           1
arise                                  1
check-writer                           1
become                                 2
must                                  11
soot                                   1
necessarily                            1
decades                                1
removal                                1
practical                              1
784-9537                               1
care                                   2
springs                                1
card                                   5
felipe                                 1
eliminating                            1
repetitive                             1
routinely                              1
presented                              3
shared                                 3
declaration                            1
friction                               1
places                                 1
preliminary                            1
vary                                   1
irregularities                         1
recognizing                            1
oblique                                1
constitutes                            1
cash                                   1
several                               12
circumstantial                         3
case                                  16
teacher                                1
early                                  9
legal                                  8
attempt                                4
famous                                 1
publicized                             1
mid-1970s                              1
stencil                                1
continuously                           1
unusual                                2
cyrillic                               2
question                               2
accidental                             1
transparent                            1
corroborate                            1
multiple                               1
placed                                 2
infrared                               1
slant                                  2
general                                2
inks                                   2
fragments                              2
device                                 1
clarity                                1
high                                   1
historical                             6
brushing                               1
very                                   8
birth                                  2
surface                               18
bates                                  1
instructed                             1
rolls                                  1
leaves                                 3
outgoing                               1
typebar                                1
chronological                          1
stock                                  1
inadequate                             1
accepted                               2
carbon                                 2
restoring                              2
servicing                              1
working                                3
adhesives                              2
again                                  2
celebrities                            1
like                                   3
undictated                             3
many                                  13
not                                   53
bubble                                 1
san                                    1
displayed                              1
now                                    1
covers                                 1
combination                            3
bearing                                2
years                                  2
fonts                                  3
autographs                             1
some                                  29
range                                  4
purposes                               5
techniques                             2
gettysburg                             1
words                                  2
genuine                               24
probably                               3
embezzlement                           1
non-identification                     1
mind                                   1
disprove                               2
end                                    1
readily                                3
resolve                                1
third-world                            1
segregated                             1
broken                                 1
process                                5
laser-printed                          1
chain                                  4
databases                              1
successfully                           4
injury                                 2
transaction                            2
quantities                             1
patent                                 1
full-color                             1
eradications                           1
skin                                   1
sources                                2
ball-point                             1
parties                                3
thickness                              1
ultraviolet                            1
throughout                             1
agencies                               2
mark                                   3
soles                                  1
fingers                                3
fountain                               1
lift                                   1
known                                  5
media                                  1
soil                                   1
narrow-beam                            1
conclusive                             1
paper                                 34
breaks                                 1
issue                                  1
state                                  3
temporary                              3
misled                                 1
currently                              1
counterfeiter                          3
because                                5
another                                5
details                                1
designs                                3
adolescent                             1
finding                                1
glass                                  6
counterfeited                          9
making                                 4
blow                                   1
certificates                           4
students                               2
photocopier/printer                    1
check                                  3
came                                   1
geographical                           1
addition                               1
teach                                  1
searches                               1
address                                1
target                                 1
special                                3
consulted                              1
using                                  4
photograph                             1
over                                   7
located                                3
features                               7
black                                  3
knock-off                              1
non-critical                           1
patterns                               1
repaired                               1
once                                   1
second-language                        1
parent                                 1
traveler                               2
unnecessary                            1
cleaned                                1
number                                 9
comparable                             1
further                                1
fuming                                 2
sequentially                           1
letters                               21
computer                               4
before                                 5
examiner                              36
handling                               3
disguised                              1
six                                    4
locations                              1
could                                  7
410                                    1
examined                               1
laboratories                           4
arises                                 1
77063                                  1
traditional                            2
ones                                   2
arrested                               1
history                                1
insufficient                           1
serif                                  2
graphologists                          2
altered                                3
sin                                    1
background                             1
sans                                   1
returned                               1
banks                                  1
methods                                5
proves                                 1
body                                   2
edition                                1
losing                                 1
photocopy                              7
impossible                             1
same                                  25
enough                                 1
who                                    9
close                                  2
iodine                                 1
theories                               2
facts                                  1
3.103                                  1
3.102                                  1
3.105                                  1
3.104                                  1
3.107                                  1
3.106                                  1
light                                  9
key                                    3
3.109                                  1
3.108                                  1
keywords                               1
get                                    1
122                                    1
back-dated                             1
subdued                                1
compress                               1
investigations                         1
considerably                           1
oral                                   1
defacing                               1
against                                1
containing                             3
examiners                             47
example                                9
disclosed                              1
substances                             1
anticipated                            1
copy-book                              4
sex                                    1
combinations                           3
carefully                              6
protective                             2
today                                  1
typed                                  1
3.121                                  1
3.120                                  1
seals                                  3
3.123                                  1
organization                           3
watermarked                            1
3.122                                  1
area                                   5
style                                  4
experience                             1
employee                               5
types                                 11
3.124                                  1
individuals                            1
stamp                                  3
restoration                            1
practitioners                          1
correspondence                         2
still                                  2
nitrate                                1
photo-offset                           1
3.112                                  1
3.111                                  1
3.110                                  1
see                                    7
unpardonable                           1
off                                    1
3.119                                  1
3.118                                  1
3.117                                  1
3.116                                  1
salts                                  1
numbering-device                       1
3.115                                  1
3.114                                  1
3.113                                  1
dictating                              1
they                                  30
concern                                1
court                                  9
bizarre                                2
break                                  1
rejected                               1
apparatus                              1
only                                  10
notary                                 1
ring                                   1
services                               1
amino                                  1
submitted                              3
third                                  1
facie                                  1
include                                9
prime                                  1
serviced                               1
earlier                                1
prima                                  1
flashlight                             2
russian                                1
skill                                  1
them                                   9
then                                  11
experienced                            1
alphabet                               1
measures                               1
records                                9
different                             17
super-glue                             1
experiences                            1
clinging                               1
moment                                 1
subject                                1
occurred                               1
apparent                               2
detailed                               2
similar                                5
files                                  4
chronologies                           1
machines                               6
differ                                 3
interview                              5
within                                 2
accuracy                               2
design                                 2
qualified                              1
custody                                4
cause                                  1
squared                                1
adhesive                               1
count                                  1
second                                 1
location                               1
fragile                                2
permit                                 4
u.s                                    3
subtle                                 1
procedures                             1
looks                                  1
level                                  1
results                                5
nondescript                            1
someone                                1
sets                                   2
developing                             4
official                               2
patiently                              1
passports                              1
examinations                          35
such                                  22
spelling                               1
heavy                                  1
machine                               24
professional                           1
visualized                             2
comparison                             9
academy                                1
statement                              2
pieces                                 1
copies                                25
copier                                 2
issues                                 2
thin                                   1
included                               3
locating                               3
this                                  25
cotton                                 4
scope                                  2
recognized                             1
wax                                    1
way                                    3
confronted                             1
from                                  26
includes                               1
affect                                 1
stage                                  1
adverse                                1
was                                   22
obliterations                          1
superimposing                          1
real                                   1
able                                   3
various                                4
between                                3
application                            1
standard                               2
important                              3
susan                                  1
diligent                               1
taught                                 5
intent                                 2
print                                  8
www.aafs.org                           1
alterations                            2
found                                  2
guide                                  1
hughes                                 1
handle                                 1
stickers                               1
specialist                             1
received                               7
fortunately                            1
occurs                                 2
7887                                   1
associate                              1
opacity                                1
collectible                            2
traits                                 1
stamps                                 1
points                                 1
piece                                  2
serve                                  2
turn                                   1
questioned                            16
defined                                1
organized                              2
copyright                              1
available                              7
admitted                               1
memorandum                             3
non-writing                            1
unusually                              1
own                                    1
ways                                   4
wheel                                  1
inconclusive                           3
common                                 2
next                                   2
bore                                   1
differences                           11
resulting                              1
loops                                  1
document                              97
survive                                1
motor                                  1
rounded                                1
direct                                 4
reed                                   1
prosecute                              1
later                                  7
absence                                3
indented                              14
angle                                  1
produced                               6
combined                               1
exaggerated                            2
fact                                   3
produces                               1
exuded                                 1
agree                                  1
graphology                             2
detail                                 2
21st                                   1
faces                                  1
both                                   6
numbering                              2
interviews                             2
served                                 3
after                                  4
takes                                  2
varying                                1
ninhydrin                              1
taken                                  1
fingerprinted                          2
networks                               1
index                                  1
charges                                2
high-quality                           2
victim                                 4
labels                                 1
transient                              3
white                                  1
size                                   6
properly                               3
that                                  83
tribes                                 1
efforts                                1
generated                              1
than                                   7
previously                             3
require                                1
irregular                              1
foreign                                1
indentations                          10
non-visible                            1
simulated                              3
result                                 7
model                                  5
graphoanalysts                         1
opposite                               1
similarities                           3
about                                  1
shining                                1
well                                   2
photography                            1
sur                                    1
complete                               1
definite                               1
severe                                 1
high-intensity                         2
sticking                               1
consent                                3
rush                                   1
crucial                                1
indispensable                          1
investigators                          3
feet                                   4
muscular                               1
suppliers                              1
variety                                1
subpoena                               2
positions                              1
sewing                                 1
directed                               2
graphological                          1
determined                             3
service                                1
forensic                              32
brief                                  2
specifically                           2
out                                    1
skills                                 3
for                                   73
accept                                 1
later-model                            1
conceal                                2
cover                                  4
comparisons                           16
grouping                               1
typewriter                            13
file                                   4
criminal                               2
information                           12
others                                 6
national                               1
contempt                               1
mortgage                               1
guilty                                 1
prevent                                4
professions                            1
traced                                 7
humidity                               1
container                              7
dusting                                8
position                               2
rapidly                                2
examination                            8
correspond                             2
oils                                   2
traces                                 1
rarely                                 4
character                              2
chronology                             6
accurate                               1
contracts                              2
fake                                   2
frequently                             2
united                                 1
95                                     1
edge                                   1
responsible                            1
establish                              3
access                                 3
brand                                  2
appendix                               2
clearly                                1
based                                  1
layman                                 1
commenced                              1
old                                    2
wish                                   2
race                                   1
witnesses                              3
requests                               1
were                                  17
turned                                 1
three                                  2
positive                               3
directly                               2
linked                                 1
cards                                  4
culpability                            1
letter                                 9
manufactured                           3
dated                                  2
class                                  4
witnessed                              1
environment                            2
word                                   1
even                                   4
brush                                  1
disturbances                           1
scratching                             1
brilliance                             1
allow                                  4
one                                   16
contained                              1
licenses                               3
recent                                 1
minute                                 2
bond                                   1
fit                                    1
during                                 4
graphics                               1
defraud                                1
find                                   2
lists                                  1
photographic                           3
film                                   1
office                                 1
with                                  56
mistake                                1
circumstances                          1
matter                                 1
authenticated                          1
rules                                  1
ruler                                  1
manual                                29
safety                                 1
confuse                                1
preservation                           1
periods                                2
bright                                 5
linda                                  1
particular                            11
parts                                  1
awareness                              1
party                                  2
academic                               1
time                                   8
compared                               4
tyle                                   1
infirmity                              1
levels                                 2
initials                               3
created                                2
bare                                   3
substantial                            1
matures                                1
these                                 22
else                                   2
segregating                            1
shows                                  2
stationery                             2
pencil                                 2
lined                                  1
opening                                1
each                                  10
big                                    1
knowledge                              4
unique                                 4
currency                               1
training                               1
side                                   2
recognize                              1
dating                                 1
ensure                                 2
d.c                                    1
bars                                   2
dissemination                          1
graduates                              1
electronic                             2
specifications                         1
standards                              5
719                                    1
713                                    1
contacting                             1
sequence                               4
comfort                                1
analyses                               5
informal                               1
public                                 1
specimens                              1
precise                                1
transactions                           2
physical                               6
precisely                              2
visible                                1
envelope                               9
calibrated                             1
3.201                                  1
has                                   12
software                               1
refute                                 2
specimen                               1
bank                                   1
invoices                               2
had                                    1
processes                              3
colors                                 1
ascertain                              1
destroying                             1
weakness                               1
damaging                               1
factors                                1
items                                  5
determining                            8
names                                  2
kickbacks                              1
large                                  6
deteriorate                            1
obtained                              11
evidence                              53
erroneously                            1
powder                                 3
analysis                               3
simulation                             2
released                               1
cautious                               1
author                                 1
findings                               2
chapter                                2
custodian                              1
statements                             3
name                                   3
pay                                    2
uniquely                               3
to-do                                  2
assembling                             1
locate                                 2
activity                               1
law                                    5
pad                                    2
depend                                 1
planned                                1
falsely                                1
portions                               3
never                                  5
great                                  1
protector                              1
source                                 7
take                                   3
there                                  7
streaks                                1
categories                             1
contamination                          2
engineers                              1
appearance                             2
knowing                                1
thermal                                1
reason                                 1
otherwise                              3
involve                                1
initialing                             2
sufficient                             4
overhead                               1
shops                                  1
folds                                  3
periodically                           1
her                                    2
voluntary                              1
spots                                  1
transfer                               3
bag                                    1
numerous                               1
hopes                                  1
establishing                           1
regarding                              1
volunteered                            1
routes                                 1
horizontal                             1
porous                                 3
will                                  30
binder                                 2
home                                   2
getting                                1
preceding                              1
proof                                  5
tape                                   2
short                                  1
products                               1
kept                                   3
vendor                                 1
sciences                               1
receipts                               1
crush-proof                            1
lottery                                1
pen                                    2
artisans                               1
preserving                             2
pseudoscience                          1
distortions                            4
method                                 6
partially                              2
cut                                    1
capabilities                           2
installations                          1
identifiers                            1
variation                              5
since                                  6
him                                    4
identifications                        3
reproduction                           2
type                                   8
counterfeit                            7
postage                                1
changed                                1
angles                                 2
his                                   11
purported                              3
howard                                 1
applications                           1
required                               3
preferable                             1
copying                                1
onto                                   1
consist                                3
charred                                2
kinds                                  1
means                                  3
assist                                 5
printing                              17
scanners                               1
requires                               1
retouched                              2
owned                                  1
amounts                                1
one-to-one                             1
defeat                                 1
rubberized                             1
artworks                               1
quick                                  1
writing                               28
so-called                              3
considered                             1
seal                                   2
reconstruct                            1
bits                                   1
prosecutions                           1
your                                   1
colorado                               2
registration                           1
database                               3
mormon                                 2
larcenous                              1
objectives                             1
diaries                                1
also                                  15
step                                   1
mortally                               1
changes                                3
cyanoacrylate                          1
disclaim                               1
non-porous                             4
checks                                 4
countries                              1
evident                                1
e.g                                    3
adopt                                  1
unobtrusive                            1
photocopies                           11
quantity                               1
along                                  4
photocopier                            2
elements                               2
bureau                                 1
assembled                              1
copy                                  13
prove                                 11
handwritings                           1
contents                               1
adequate                               6
modifications                          1
feasible                               1
short-term                             1
blood                                  1
sanctions                              1
always                                 5
