Token                          Frequency
-----------------------------  ---------
to                                     1
can                                    1
one                                    1
evidence                               6
by                                     1
party                                  2
considered                             1
discretion                             1
overrules                              1
another                                1
of                                     6
judge                                  3
if                                     2
—                                      1
when                                   1
admissibility                          3
on                                     2
depends                                1
trial                                  1
objects                                1
be                                     1
is                                     2
however                                1
objection                              2
a                                      2
finder                                 1
questions                              1
wide                                   1
the                                    9
offer                                  1
admitted                               2
in                                     1
variety                                1
and                                    2
not                                    1
fact                                   1
factors                                1
an                                     1
involving                              1
part                                   1
sustains                               1
large                                  1
occur                                  1

Totals:                     43        73
