Token                          Frequency
-----------------------------  ---------
expression                             1
binary                                 1
dump                                   1
compound                               1
for                                    1
broad                                  1
guardian                               1
mac                                    1
supports                               1
fraud                                  1
analysis                               1
digital                                1
utimaco                                1
encryption                             1
search                                 1
file                                   2
advanced                               1
2011                                   1
forensics                              1
investigation                          1
efs                                    1
3.730                                  1
proper                                 1
safeboot                               1
credant                                1
full-feature                           1
index                                  1
•                                      5
edge                                   1
support                                2
such                                   1
engine                                 2
regular                                1
a                                      1
as                                     1
analytics                              1
searches                               1
and                                    3
manual                                 1
technologies                           1
system                                 1
pgp                                    1
ram                                    1
email                                  1
popular                                1
an                                     1
examiners                              1

Totals:                     47        56
