Token                          Frequency
-----------------------------  ---------
reliable                               1
analyzing                              1
using                                  4
greater                                1
predictions                            1
accounting                             2
3.605                                  1
time                                   1
search                                 1
comprehensive                          1
2011                                   1
year                                   1
these                                  2
books                                  1
patterns                               1
troubled                               1
number                                 3
variables                              1
further                                1
audits                                 1
trends                                 1
relying                                1
knowledge                              1
sort                                   1
data                                  18
conclusively                           1
examiner                              17
run                                    1
fraudulent                             2
significant                            1
could                                  1
numbers                                1
recognize                              1
best                                   1
do                                     1
hard                                   2
ensure                                 1
look                                   1
flags                                  1
a                                     18
cutting                                1
up                                     2
paperwork                              1
red                                    1
base                                   2
analyses                               1
down                                   1
discrepancies                          1
to                                    23
transactions                           2
auditor                                1
terms                                  1
lead                                   1
by                                     5
same                                   1
has                                    2
amount                                 2
software                               8
conduct                                2
would                                  1
any                                    2
forced                                 1
be                                     5
execute                                1
however                                1
so                                     1
likely                                 1
wrongdoing                             1
sift                                   1
and                                    7
investigations                         1
that                                   2
involved                               1
detection                              1
than                                   1
doing                                  1
several                                2
areas                                  1
examiners                              1
raw                                    1
can                                    9
department                             1
suspicions                             2
set                                    2
about                                  1
through                                2
volumes                                1
analysis                              13
possible                               2
complete                               2
generally                              1
locate                                 1
all                                    1
advantages                             2
five                                   1
at                                     3
as                                     1
audit                                  2
persons                                1
general                                1
reference                              1
months                                 2
entire                                 1
which                                  1
an                                     6
there                                  1
for                                    7
no                                     1
of                                    19
are                                    1
norm                                   1
given                                  1
performing                             1
only                                   1
on                                     5
activities                             1
worth                                  1
information                            7
million                                1
others                                 1
support                                1
or                                     2
hours                                  1
compare                                2
monthly                                1
without                                1
third                                  1
many                                   1
enabling                               1
now                                    1
month                                  2
will                                   3
reporting                              1
years                                  1
ask                                    1
different                              4
might                                  1
examination                            3
assistance                             1
pertinent                              2
finally                                1
ensuring                               1
statistical                            1
looking                                1
accurate                               1
probability                            1
situation                              1
files                                  2
rely                                   1
establish                              1
research                               1
fourth                                 1
leg                                    1
point                                  1
within                                 1
staggering                             1
checkpoints                            1
single                                 1
individual                             2
second                                 1
precedents                             2
investigator                           1
him                                    1
used                                   1
fraud                                 20
sources                                1
procedures                             1
angles                                 1
tools                                  1
more                                   3
gather                                 1
when                                   2
longer                                 1
developing                             1
investigation                          7
centralize                             1
work                                   2
situations                             1
examinations                           1
such                                   1
expenditures                           1
assist                                 1
depth                                  1
statement                              1
strong                                 1
program                                3
company                                4
rest                                   1
mining                                 2
have                                   1
one                                    3
from                                   1
was                                    1
because                                2
extent                                 1
allows                                 4
above-the-board                        1
able                                   3
suspect                                1
less                                   1
is                                     5
with                                   4
matter                                 1
into                                   1
nearly                                 1
list                                   1
the                                   37
past                                   2
in                                     7
searches                               1
reconciliation                         1
begin                                  1
manual                                 2
ongoing                                1
applied                                1
also                                   1
first                                  1
utilizing                              1

Totals:                    218       506
