Token                          Frequency
-----------------------------  ---------
they                                   1
person                                 5
for                                    2
knowingly                              3
higher                                 1
court                                  2
misdemeanor                            1
154                                    1
of                                    16
are                                    2
refuses                                2
interest                               2
carries                                1
only                                   1
2011                                   1
industry                               1
listed                                 1
others                                 1
or                                     4
under                                  2
3                                      1
2                                      1
1                                      1
aspect                                 1
bankruptcy                             2
purc                                   1
position                               1
18                                     1
states                                 1
influence                              1
interested                             1
11                                     1
critical                               1
indirectly                             2
title                                  2
significant                            1
—                                      1
trustees                               2
forfeiture                             1
do                                     1
trading                                1
similar                                1
held                                   1
united                                 1
documents                              2
trust                                  1
a                                     10
should                                 1
reasonable                             2
hases                                  1
opport                                 1
to                                     7
relating                               2
transactions                           1
but                                    1
conviction                             1
permit                                 2
being                                  1
u.s                                    1
by                                     5
fraud                                  2
inspection                             2
who                                    1
conduct                                2
estates                                1
affairs                                2
would                                  1
unlike                                 1
parties                                3
any                                    2
when                                   1
directly                               2
marshal                                1
be                                     2
financial                              1
such                                   1
so                                     1
1.1319                                 1
property                               3
code                                   1
and                                    5
sale                                   2
whereas                                1
that                                   1
assets                                 1
than                                   1
examiners                              1
felonies                               1
securities                             1
case                                   1
this                                   3
make                                   1
other                                  2
can                                    2
one                                    1
insider                                1
purchase                               1
well                                   1
trustee                                2
adverse                                1
officers                               1
custodian                              1
officer                                2
if                                     1
above                                  2
fine                                   1
all                                    1
individuals                            1
office                                 1
statute                                2
is                                     4
accounts                               2
it                                     1
standard                               1
violation                              1
as                                     2
the                                   20
in                                     7
section                                2
profits                                1
manual                                 1
therefore                              1
opportunity                            1
which                                  1
charge                                 2
unity                                  1
an                                     1
directed                               1
estate                                 4

Totals:                    129       245
