Token                          Frequency
-----------------------------  ---------
to                                     3
alteration                             1
other                                  1
payroll                                1
change                                 1
way                                    1
mentioned                              1
altering                               1
manipulate                             1
of                                     2
staff                                  1
rate                                   1
personnel                              1
would                                  1
sales                                  1
above                                  1
off-limits                             1
commission                             3
employee                               1
be                                     1
is                                     1
or                                     1
likely                                 1
as                                     1
rates                                  1
the                                    5
should                                 1
process                                1
necessitate                            1
which                                  1
records                                1
this                                   1

Totals:                     32        41
