Token                          Frequency
-----------------------------  ---------
to                                     3
need                                   1
understand                             1
cause                                  1
deeds                                  2
sometimes                              1
for                                    1
higher                                 1
whether                                1
been                                   1
who                                    1
beyond                                 1
self-interest                          1
of                                     3
appeal                                 1
value                                  2
interviewers                           1
be                                     1
respondent                             1
self-esteem                            1
form                                   1
or                                     2
identify                               1
humans                                 1
and                                    1
many                                   1
not                                    1
that                                   1
system                                 1
importance                             1
this                                   2
some                                   1
distinguishes                          1
might                                  1
respondents                            1
can                                    1
have                                   1
made                                   1
use                                    1
techniques                             1
from                                   1
seems                                  1
usually                                1
publicity                              1
major                                  1
motivating                             1
with                                   2
is                                     1
a                                      2
larger                                 1
strategy                               1
the                                    4
appeals                                1
in                                     1
altruistic                             2
immediate                              1
objectives                             1
take                                   1
identification                         1
there                                  1
increase                               1
group                                  1
public                                 1
altruism                               3

Totals:                     64        80
