Token                          Frequency
-----------------------------  ---------
to                                     1
reveal                                 4
deposit                                1
for                                    1
no                                     1
normal                                 1
checks                                 1
ghost                                  3
deposits                               1
been                                   2
withholding                            1
of                                     4
delinquent                             1
are                                    1
any                                    2
these                                  1
serve                                  1
or                                     2
deposited                              1
withholdings                           1
period                                 1
without                                1
that                                   1
borrowed                               2
flag                                   1
abuses                                 1
authorities                            1
tax                                    2
items                                  1
often                                  1
will                                   1
even                                   1
insurance                              1
payroll                                3
other                                  1
additionally                           1
have                                   3
notices                                1
before                                 1
comparing                              1
from                                   2
date                                   2
analysis                               3
short                                  1
disbursement                           1
borrowings                             1
if                                     1
employee                               2
with                                   1
may                                    3
deductions                             2
trust                                  4
a                                      4
potential                              1
as                                     1
the                                    6
withholding-tax                        1
should                                 2
therefore                              1
taxing                                 1
either                                 1
red                                    1
an                                     2
listing                                1
account                                4
taxes                                  4
employees                              2

Totals:                     67       112
