Token                          Frequency
-----------------------------  ---------
to                                     6
but                                    1
individual                             2
for                                    1
no                                     2
terms                                  1
rights                                 1
particular                             1
by                                     2
fraud                                  1
has                                    1
whether                                3
prior                                  1
discretion                             1
of                                     3
obligation                             1
permitted                              1
his                                    1
represented                            1
accompanied                            1
action                                 1
2011                                   1
on                                     1
depends                                1
right                                  1
be                                     4
control                                1
examinations                           1
however                                1
such                                   1
or                                     1
collective-bargaining                  1
always                                 1
without                                1
that                                   1
present                                1
involved                               1
company                                1
will                                   3
examiners                              1
example                                1
attorney                               2
lawyer                                 2
legal                                  1
typically                              1
can                                    2
allow                                  2
state                                  1
employer                               1
applicability                          1
private                                1
during                                 4
if                                     2
generally                              2
rule                                   1
2.410                                  1
employee                               7
consult                                2
covered                                1
law                                    1
is                                     5
it                                     2
circumstances                          2
absence                                1
a                                      4
at                                     1
agreement                              2
the                                   14
in                                     2
general                                1
manual                                 1
sit                                    1
representative                         2
presence                               1
interview                              5
an                                     7
there                                  1

Totals:                     77       145
