Token                          Frequency
-----------------------------  ---------
need                                   1
understand                             1
greater                                1
for                                    1
checks                                 2
answered                               1
open                                   3
of                                     5
improved                               1
are                                    4
errors                                 1
clarify                                1
2011                                   1
inquisitory                            1
respondent                             2
once                                   1
or                                     2
questions                              3
job                                    1
prevent                                1
not                                    2
system                                 2
them                                   1
ask                                    1
explain                                3
review                                 1
try                                    1
go                                     1
3.228                                  1
most                                   1
techniques                             1
effective                              1
honesty                                1
________                               1
current                                1
command                                2
me                                     4
tell                                   4
internal                               1
responsible                            1
a                                      1
back                                   1
should                                 1
point                                  1
informational                          1
paperwork                              2
challenge                              1
interview                              2
what                                   3
chain                                  1
inconsistent                           1
to                                     4
detail                                 1
but                                    1
constructed                            1
integrity                              1
answers                                1
accusatory                             1
fraud                                  1
used                                   1
where                                  1
subtle                                 1
must                                   1
procedures                             2
has                                    1
almost                                 1
please                                 7
facts                                  1
investigation                          1
be                                     3
exclusively                            1
and                                    5
that                                   1
examiners                              1
areas                                  1
example                                1
this                                   1
phase                                  1
remember                               1
can                                    1
department                             3
about                                  2
theory                                 1
nonleading                             1
controls                               1
if                                     1
questioning                            1
question                               1
application                            1
is                                     1
your                                   4
at                                     1
as                                     1
you                                    3
the                                   15
in                                     8
balances                               2
manual                                 1
interviewer                            3
effect                                 1
see                                    1

Totals:                    101       178
