Token                          Frequency
-----------------------------  ---------
involvement                            1
person                                 1
greater                                1
no                                     1
specialist                             1
inception                              1
rights                                 1
lessen                                 1
technical                              1
politics                               1
of                                    11
are                                    5
among                                  1
laws                                   1
2011                                   1
discharge                              1
relatively                             1
support                                1
or                                     5
i-4                                    1
available                              1
board                                  1
powerful                               1
without                                1
third                                  1
reprisals                              1
include                                1
not                                    2
committee                              1
disciplines                            1
will                                   1
documentary                            1
conclusion                             1
violated                               1
records                                1
some                                   1
introduction                           1
review                                 1
outside                                3
different                              1
evaluate                               1
might                                  4
complex                                1
assistance                             2
investigative                          1
aspects                                1
most                                   1
threats                                1
workplace                              1
normally                               1
typical                                1
concerned                              1
significant                            1
specialists                            1
usually                                1
civil                                  1
counsel                                2
internal                               2
sensitive                              1
kept                                   1
ensure                                 1
experts                                1
immune                                 1
cases                                  3
documents                              1
a                                      8
consultant                             1
should                                 2
employ                                 1
field                                  1
obtaining                              1
including                              1
directors                              1
public                                 1
advice                                 1
cfe                                    1
progress                               1
to                                     7
resources                              3
provide                                1
least                                  1
by                                     1
used                                   1
fraud                                  5
wrongful                               1
has                                    1
contacts                               1
who                                    1
auditors                               2
witnesses                              1
conduct                                1
personnel                              1
would                                  1
parties                                1
when                                   1
action                                 1
useful                                 1
losses                                 1
investigation                          6
interviewing                           1
directly                               1
be                                     5
work                                   1
examinations                           1
certified                              1
such                                   2
far                                    1
effort                                 1
possibility                            1
team                                   2
virtually                              1
and                                    6
that                                   1
involved                               1
particularly                           2
strong                                 1
often                                  2
than                                   1
popular                                1
company                                2
examiners                              2
areas                                  1
require                                1
case                                   1
lend                                   1
management                             3
this                                   1
hope                                   1
legal                                  2
other                                  2
have                                   2
department                             2
evidence                               1
governing                              1
from                                   4
security                               2
insiders                               1
complaints                             1
stage                                  1
following                              1
suspect                                1
experience                             1
participate                            1
employee                               3
assembling                             1
trained                                1
directing                              1
is                                     3
it                                     2
at                                     1
investigators                          1
assigned                               1
as                                     2
audit                                  1
the                                   20
in                                     7
informed                               1
needed                                 1
human                                  3
manual                                 1
representative                         2
schedule                               1
cooperative                            1
suit                                   1
necessary                              2
tips                                   1
operations                             1
consulted                              1
success                                1
also                                   2
employees                              1

Totals:                    171       287
