Token                          Frequency
-----------------------------  ---------
to                                     1
nt                                     1
apply                                  1
discussion                             1
provide                                1
both                                   1
additionally                           1
for                                    3
set                                    2
contains                               1
governme                               1
yellow                                 3
type                                   1
of                                     5
performance                            1
—                                      2
below                                  1
three                                  1
gagas                                  1
sets                                   1
government                             1
types                                  1
work                                   3
financial                              1
separate                               2
however                                1
engagements                            2
a                                      3
provides                               1
audit                                  4
the                                    5
attestation                            1
general                                3
and                                    4
standards                              9
field                                  3
overview                               1
book                                   3
reporting                              3
each                                   1
brief                                  1
out                                    1
audits                                 1

Totals:                     43        85
