Token                          Frequency
-----------------------------  ---------
segregation                            1
automated                              1
dispense                               1
test                                   1
for                                    3
no                                     1
particular                             1
perpetrated                            1
draw                                   1
of                                     7
scheme                                 1
41                                     1
programmed                             1
depositing                             1
2011                                   1
duties                                 1
services                               1
teller                                 1
done                                   1
include                                1
not                                    1
record                                 1
2                                      1
instructing                            1
funds                                  2
mainframe                              1
$200,000                               1
codes                                  1
masterminding                          1
unauthorized                           3
accessing                              1
theft                                  1
computer                               1
expert                                 1
put                                    1
use                                    2
most                                   1
mode                                   1
personal                               1
leave                                  1
numbers                                1
and/or                                 1
money                                  2
investigating                          1
checking                               1
look                                   1
steal                                  1
•                                      4
holder                                 1
schemes                                3
a                                      5
access                                 1
machines                               3
prison                                 1
account                                2
er                                     1
to                                     6
transactions                           3
but                                    1
perform                                1
by                                     2
fraud                                  4
counterfeit                            2
been                                   2
has                                    1
function                               1
when                                   1
any                                    1
card                                   3
official                               1
bank                                   2
cards                                  1
financial                              2
such                                   1
issuance                               1
lack                                   1
machine                                1
and                                    6
detection                              1
company                                1
popular                                1
involving                              1
cash                                   2
comput                                 1
examiners                              1
several                                1
example                                1
this                                   1
1.938                                  1
other                                  1
dispensing                             1
can                                    2
have                                   1
remotely                               1
department                             1
issue                                  1
former                                 1
from                                   2
security                               1
atms                                   1
was                                    3
atm                                    8
facility                               2
sentenced                              1
debit                                  1
issuing                                1
citibank                               2
employee                               2
between                                1
facilities                             1
institution                            1
is                                     1
it                                     1
as                                     1
the                                   12
persons                                1
in                                     4
manipulation                           1
balances                               1
manual                                 1
months                                 1
which                                  1
pin                                    2
identification                         1
an                                     1
also                                   1

Totals:                    126       203
