Token                          Frequency
-----------------------------  ---------
using                                  1
for                                    4
giveaway                               1
verify                                 1
no                                     1
court                                  1
advances                               1
customer                               1
of                                     2
thanks                                 1
are                                    4
buyer                                  1
purchases                              1
information                            2
scammer                                1
or                                     1
computerized                           1
not                                    1
obtain                                 1
simply                                 1
telemarketing                          2
will                                   1
telemarketers                          1
before                                 1
use                                    2
most                                   1
minds                                  1
personal                               1
numbers                                1
checking                               1
transfers                              1
payment                                1
responsible                            1
a                                      2
suffer                                 1
brings                                 1
debits                                 1
electronic                             1
up                                     1
account                                4
swindled                               1
telling                                1
banks                                  1
to                                     6
technology                             1
chargebacks                            1
change                                 1
lly                                    1
defrauding                             1
little                                 1
by                                     1
restitution                            1
tools                                  1
any                                    1
losses                                 1
investigation                          1
victims                                1
victim                                 3
so                                     1
automatic                              2
drain                                  1
filing                                 1
and                                    1
that                                   2
even                                   1
this                                   3
obtained                               1
can                                    3
set                                    1
one                                    1
about                                  1
way                                    1
businesses                             1
business                               1
recourse                               1
if                                     1
banking                                1
debit                                  1
receive                                1
complaint                              2
is                                     2
besides                                1
poor                                   1
the                                   12
customers                              2
in                                     2
needed                                 1
worse                                  1
convenient                             1
opportunity                            1
chances                                1
usua                                   1
an                                     2
there                                  1
device                                 1
eligibility                            1
operations                             1
their                                  2

Totals:                     98       142
