Token                          Frequency
-----------------------------  ---------
prospective                            1
information                            1
contract                               1
solicitations                          1
a                                      1
submitting                             1
at                                     1
collusive                              1
the                                    1
turns                                  1
taking                                 1
occurs                                 1
of                                     1
rotation                               1
when                                   1
on                                     1
low                                    1
group                                  1
vendors                                1
bid                                    2
bidding                                1
exchange                               1

Totals:                     22        23
