Token                          Frequency
-----------------------------  ---------
1.737                                  1
1.738                                  1
president                              2
1.735                                  1
1.736                                  1
1.733                                  1
1.734                                  1
1.731                                  1
incentive                              2
1.732                                  1
competitors                           16
developed                              2
1.730                                  1
coded                                  1
memos                                  2
compete                                3
bribery                               71
detrimental                            1
materials                             11
advanced                               1
fraudster                             24
bought                                 2
right                                  1
1.729                                  1
1.728                                  1
purchases                             11
distinction                            3
interest-free                          1
purchaser                             10
&                                      3
asset                                 11
competes                               1
violates                               3
answer                                 1
undone                                 1
diversions                             2
)                                      1
turnaround                             2
fee                                    1
purchased                              2
payments                              60
quality                                6
codes                                  2
?                                     13
1.739                                  1
forbid                                 1
instruments                            2
steady                                 1
comparing                              2
justify                                3
made                                  24
accordingly                            1
undercut                               1
cashed                                 4
fraudulent                            25
ensures                                1
usually                               16
debts                                  3
lucrative                              1
sophisticated                          2
ignore                                 2
b                                      2
markets                                1
illegal                               16
c                                      2
rivals                                 1
a                                    404
fruits                                 2
consultant                             1
extorter                               1
h                                      1
taking                                 4
new                                    6
red                                    5
including                              3
days                                   2
s                                      1
having                                 1
advice                                 1
y                                      1
esta                                   1
resources                              1
basis                                  2
change                                 1
tool                                   1
entity                                 9
took                                   1
lead                                   7
bypassing                              1
policies                               7
expenses                              13
testifies                              1
medical                                2
personnel                              9
estimated                              1
basic                                  4
description                            1
awarding                               1
stating                                1
partnership                            2
retained                               1
execute                                1
involves                               5
1.703                                  1
1.702                                  1
far                                    1
1.705                                  1
1.704                                  1
much                                   4
lacking                                1
particularly                          14
involved                              10
miscellaneous                          2
often                                 22
elected                                1
behavioral                             2
areas                                  1
orders                                 5
make                                   7
deliveries                             2
update                                 1
indicator                              1
connect                                1
indication                             2
1.712                                  1
1.711                                  1
planted                                1
remarks                                1
1.710                                  1
through                               16
1.716                                  1
complaints                             4
lavish                                 2
1.715                                  1
business                              73
1.714                                  1
completely                             1
1.713                                  1
on-book                                9
1.708                                  1
1.709                                  1
1.706                                  1
following                             17
possible                               6
1.707                                  1
conspicuously                          1
tries                                  1
reached                                1
keeps                                  2
booking                                1
noticeable                             1
1.721                                  1
colleague                              1
1.720                                  1
equal                                  1
inflated                               8
1.723                                  1
orchestrate                            1
1.722                                  1
1.725                                  1
1.724                                  1
1.727                                  1
1.726                                  1
1.717                                  1
1.718                                  1
entire                                 1
1.719                                  1
advantage                              8
which                                 47
female                                 1
anyone                                 1
inside                                 5
