Token                          Frequency
-----------------------------  ---------
to                                     2
suspicious                             1
transactions                           2
transaction                            1
for                                    1
awareness                              1
aware                                  2
compliance                             3
customer                               1
detailing                              1
every                                  1
procedures                             1
has                                    1
of                                     4
are                                    1
laws                                   1
on                                     1
bank                                   2
educated                               1
place                                  1
required                               1
serious                                1
be                                     4
financial                              1
programs                               1
however                                1
such                                   1
or                                     1
suggest                                1
and                                    3
that                                   2
amounts                                1
now                                    1
program                                3
cash                                   1
might                                  1
have                                   1
set                                    1
institutions                           1
dealing                                1
made                                   1
most                                   1
appears                                1
business                               1
laundering                             3
possible                               1
significant                            1
if                                     1
implications                           1
money                                  2
do                                     1
employee                               1
activity                               1
all                                    1
institution                            1
with                                   1
a                                      4
potential                              1
the                                    5
secrecy                                2
in                                     1
should                                 5
institute                              1
what                                   1
statutes                               1
an                                     1
act                                    2
out                                    1
employees                              3

Totals:                     69       104
