Token                          Frequency
-----------------------------  ---------
for                                    3
evasion                                1
predicate                              1
court                                  2
perpetrated                            1
of                                    12
although                               2
are                                    7
criminal                               2
2011                                   1
false                                  1
on                                     1
focus                                  1
discharge                              1
these                                  1
information                            1
debtor                                 3
form                                   1
or                                     2
aiding                                 1
under                                  1
many                                   1
tax                                    1
culmination                            1
bankruptcy                             9
examples                               1
some                                   1
objections                             1
before                                 1
aspects                                1
made                                   1
states                                 1
laundering                             1
violations                             1
allegations                            2
heard                                  2
trustees                               1
usually                                1
money                                  1
civil                                  2
district                               1
stolen                                 1
frequently                             1
united                                 1
cases                                  2
a                                      5
process                                1
including                              1
pattern                                1
transferred                            1
bankruptcy-related                     1
to                                     3
transactions                           1
conspiracy                             1
offenses                               1
transportation                         1
fraud                                 10
where                                  1
been                                   1
prior                                  2
related                                1
motions                                1
more                                   1
facts                                  1
crimes                                 4
underlying                             1
bank                                   1
financial                              1
wire                                   1
property                               2
filing                                 1
ensue                                  1
and                                    3
1.1321                                 1
that                                   2
associated                             1
against                                1
proceedings                            3
examiners                              3
several                                1
this                                   1
result                                 1
interstate                             1
other                                  2
have                                   1
lawsuits                               1
goods                                  1
dealing                                1
fraudulently                           1
chapter                                1
statements                             1
petition                               1
rico                                   1
offense                                1
activity                               1
law                                    2
mail                                   1
parallel                               1
with                                   2
is                                     2
as                                     1
the                                   14
onduct                                 1
in                                     5
recovery                               1
section                                2
appointment                            1
misc                                   1
manual                                 2
see                                    1
there                                  2
abetting                               1
also                                   2
occur                                  1

Totals:                    114       203
