Token                          Frequency
-----------------------------  ---------
they                                   1
suspicious                             1
maintain                               1
street                                 1
eyes                                   1
course                                 1
of                                     3
avoid                                  1
approved                               1
unnatural                              1
are                                    1
false                                  1
place                                  1
these                                  1
strategies                             1
or                                     4
attract                                1
board                                  1
observer                               4
not                                    1
detectable                             1
them                                   1
might                                  1
suddenly                               2
depart                                 1
subject                                3
refrain                                1
made                                   1
easily                                 1
techniques                             1
impractical                            1
engage                                 1
could                                  1
times                                  1
tendency                               1
hard                                   1
culs-de-sac                            1
disguises                              1
look                                   1
reverse                                1
a                                      3
inexperienced                          1
should                                 4
precautions                            1
public                                 1
discovered                             1
actions                                1
to                                     4
location                               1
overcome                               1
moves                                  1
being                                  1
observers                              1
by                                     1
transportation                         1
identified                             1
where                                  1
been                                   1
must                                   1
abrupt                                 1
trapped                                1
basic                                  1
surveillance                           2
directly                               1
be                                     1
such                                   1
enter                                  1
and                                    2
studied                                1
that                                   2
several                                1
streets                                1
alleys                                 1
other                                  1
carefully                              1
can                                    1
have                                   1
evasive                                1
from                                   2
believe                                1
because                                1
following                              1
geography                              1
area                                   1
dead-end                               2
making                                 1
attention                              1
beards                                 1
is                                     1
counter                                1
at                                     1
glances                                1
into                                   1
as                                     1
the                                    9
know                                   1
in                                     1
variety                                1
take                                   1
an                                     1

Totals:                    100       132
