Token                          Frequency
-----------------------------  ---------
to                                     3
transactions                           2
users                                  1
technology                             1
for                                    1
by                                     2
accounting                             4
fraud                                  1
accountants                            1
practices                              1
of                                     1
over                                   1
time                                   1
are                                    3
more                                   1
accepted                               1
basic                                  3
social                                 1
2011                                   1
on                                     1
underlying                             2
useful                                 1
these                                  1
demand                                 1
financial                              2
appropriate                            1
shifts                                 1
or                                     1
productive                             1
economic                               1
advancements                           1
and                                    3
conditions                             1
company                                1
recorded                               1
examiners                              1
referred                               1
evolved                                1
classifications                        1
1.116                                  1
have                                   1
response                               1
following                              1
generally                              1
is                                     1
a                                      2
into                                   1
as                                     1
list                                   1
principles                             5
the                                    3
concepts                               1
should                                 1
in                                     3
rules                                  1
manual                                 1
standards                              1
expected                               1
which                                  2
continue                               1
changing                               1
base                                   1
account                                1
their                                  2

Totals:                     64        90
