Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   2
reducing                               1
risks                                  1
dialogue                               3
awareness                              1
used                                   1
fraud                                  7
of                                     3
open                                   1
results                                1
forward                                1
initial                                1
boundaries                             1
action                                 1
prevention                             1
4.826                                  1
2011                                   1
be                                     2
witnessed                              1
and                                    3
further                                1
that                                   2
planning                               1
company                                2
will                                   1
active                                 1
examiners                              1
promotes                               1
acceptable                             1
can                                    3
have                                   1
behavior                               1
about                                  1
way                                    1
believe                                1
education                              1
across                                 2
effective                              1
risk                                   3
if                                     1
aimed                                  1
engaging                               1
communication                          1
a                                      2
at                                     1
establish                              1
unacceptable                           1
potential                              1
come                                   1
the                                    6
in                                     1
deterrence                             1
begin                                  2
manual                                 1
chances                                1
an                                     2
increase                               1
assessment                             2
also                                   1
employees                              1

Totals:                     61        92
