Token                          Frequency
-----------------------------  ---------
they                                   1
using                                  1
for                                    4
developed                              2
higher                                 1
rights                                 1
awarded                                1
detailing                              1
avoid                                  1
permitted                              1
consultation                           1
of                                    11
time                                   1
are                                    3
deliver                                1
solely                                 1
buyer                                  4
2011                                   1
on                                     4
carelessly                             1
sole                                   1
supplier                               1
information                            1
services                               1
preparation                            1
once                                   1
or                                     6
preferential                           1
he                                     2
consultants                            2
not                                    1
frauds                                 1
price                                  2
committed                              1
then                                   1
will                                   2
some                                   1
review                                 1
assisted                               1
1.2003                                 1
before                                 1
well-written                           1
instances                              2
collusion                              2
costs                                  1
easy                                   1
times                                  1
written                                5
money                                  2
write                                  1
contracts                              1
similar                                1
entitled                               1
•                                      5
flags                                  1
signed                                 1
firm                                   1
later                                  3
a                                      9
officials                              1
vague                                  3
accepting                              1
enhancement                            1
specifications                        14
selection                              1
product                                1
standards                              2
process                                1
red                                    1
what                                   1
clearly                                1
advice                                 1
design                                 1
based                                  2
entitlements                           1
to                                    17
transactions                           1
skimpy                                 1
detail                                 1
basis                                  2
provide                                1
both                                   1
sometimes                              2
award                                  2
perform                                1
by                                     3
splitting                              1
permitting                             1
selecting                              1
actually                               1
where                                  1
procurement                            2
fraud                                  3
poorly                                 3
identified                             1
been                                   1
has                                    1
who                                    2
priced                                 1
after                                  1
more                                   2
personnel                              1
would                                  1
instance                               1
be                                     3
financial                              1
work                                   5
situations                             1
so                                     1
contractor                             9
contract                               8
easier                                 1
assist                                 1
bids                                   1
bidders                                1
providing                              1
intended                               2
double                                 1
cost                                   2
and                                   12
that                                   4
detection                              1
amounts                                1
subcontractors                         1
contain                                1
than                                   2
involving                              1
examiners                              1
even                                   1
prepared                               1
make                                   2
immediately                            1
deliberately                           2
other                                  2
can                                    1
one                                    1
goods                                  1
writing                                1
through                                1
was                                    2
following                              1
order                                  1
statements                             5
pay                                    1
making                                 1
types                                  1
bid                                    3
between                                1
all                                    1
separate                               1
with                                   5
is                                     8
it                                     3
into                                   1
at                                     2
agreement                              3
as                                     1
potential                              2
list                                   1
the                                   30
past                                   1
in                                     9
collude                                1
manual                                 1
amendments                             1
which                                  1
source                                 1
plan                                   1
ordered                                1
there                                  3
an                                     2
justifications                         1
specification                          1
service                                1
provided                               1
increase                               2
categories                             1
claimed                                1
claim                                  1
consistent                             1
amend                                  2
changes                                1

Totals:                    182       386
