Token                          Frequency
-----------------------------  ---------
to                                     1
for                                    3
use                                    2
expensive                              2
been                                   1
after                                  1
of                                     2
are                                    1
patients                               1
patient                                1
laser                                  2
had                                    1
be                                     1
charges                                2
may                                    1
such                                   1
added                                  2
numerous                               1
as                                     1
the                                    4
already                                1
billing                                1
billed                                 1
treatments                             2
bills                                  1

Totals:                     25        37
