Token                          Frequency
-----------------------------  ---------
to                                     9
but                                    1
understand                             2
both                                   1
for                                    4
fraud                                  5
3.512                                  1
necessarily                            1
exactly                                1
of                                     2
help                                   1
more                                   1
are                                    2
search                                 8
describe                               1
three                                  1
only                                   1
2011                                   1
boolean                                4
investigation                          1
right                                  1
be                                     1
topic                                  1
information                            1
succeed                                1
keywords                               1
symbol                                 1
so                                     1
searching                              1
engine                                 4
or                                     2
possibly                               1
shown                                  1
+                                      1
putting                                1
and                                    4
not                                    1
reads                                  1
that                                   6
symbols                                2
better                                 1
contain                                1
then                                   1
will                                   2
examiners                              1
word                                   2
each                                   1
example                                1
utilize                                1
case                                   1
some                                   1
immediately                            1
accessing                              1
check+fraud                            1
other                                  1
common                                 1
have                                   1
next                                   1
one                                    2
indicate                               1
way                                    1
use                                    2
beneficial                             1
aid                                    1
online                                 1
another                                1
following                              1
connectors                             1
words                                  2
if                                     2
below                                  1
best                                   2
operators                              3
between                                1
is                                     3
may                                    1
it                                     3
check                                  4
pages                                  2
a                                      1
as                                     1
you                                    1
the                                   13
websites                               1
in                                     1
operator                               1
manual                                 1
two                                    1
what                                   1
insert                                 1

Totals:                     90       160
