Token                          Frequency
-----------------------------  ---------
for                                    6
holding                                1
no                                     1
applies                                1
of                                    16
bribery                                7
are                                    2
given                                  1
principal                              1
performing                             1
only                                   1
2011                                   1
duties                                 1
something                              2
government                             2
carry                                  1
elements                               2
2.248                                  1
prove                                  1
or                                     7
201                                    2
under                                  3
he                                     1
receiving                              3
1                                      1
crime                                  1
years                                  1
compensate                             1
position                               1
made                                   2
18                                     3
influence                              1
15                                     1
witness                                1
violations                             1
lawfully                               1
gratuities                             3
giving                                 4
imprisonment                           1
•                                      8
payment                                2
illegal                                4
a                                      9
officials                              3
up                                     1
corruptly                              1
public                                 5
disqualification                       1
part                                   1
to                                     8
follows                                2
stated                                 1
both                                   1
offenses                               1
u.s                                    1
perform                                1
contains                               1
by                                     1
fraud                                  2
related                                1
u.s.c                                  3
witnesses                              1
conduct                                1
more                                   1
his                                    1
unlike                                 1
any                                    2
value                                  4
official                              10
required                               1
bribe                                  2
prohibits                              2
anti-corruption                        1
reward                                 1
§                                      2
virtually                              1
and                                    4
that                                   1
maximum                                1
influencing                            3
examiners                              1
juror                                  1
purpose                                3
from                                   1
was                                    1
201(c                                  3
because                                2
201(b                                  4
federal                                1
gratuity                               4
performance                            1
offense                                4
employee                               1
fine                                   2
two-year                               1
statute                                2
office                                 1
law                                    2
requirement                            1
separate                               1
is                                     7
with                                   2
it                                     2
makes                                  1
moreover                               1
as                                     3
lesser-included                        1
the                                   13
intent                                 1
section                                7
manual                                 1
two                                    1
punishable                             1
anything                               2
term                                   1
anyone                                 1
there                                  1
an                                     6
changing                               1
act                                    4
specifically                           1

Totals:                    121       281
