Token                          Frequency
-----------------------------  ---------
to                                     4
but                                    1
examine                                1
disappears                             1
single                                 1
individual                             1
for                                    2
residential                            2
borrower                               1
variation                              2
package                                1
applies                                1
lead                                   1
involve                                1
perform                                2
its                                    3
where                                  1
consumer                               1
fraud                                  2
must                                   1
participations                         2
been                                   1
obligation                             1
takes                                  1
of                                     4
are                                    2
scheme                                 1
participation                          1
any                                    1
brokered                               6
advanced                               1
on                                     1
underlying                             1
bank                                   3
sells                                  1
brokering                              1
commercial                             1
sold                                   1
these                                  1
however                                1
purchaser                              2
packages                               3
selling                                3
or                                     3
loan                                   8
charged                                1
and                                    3
fee                                    2
not                                    5
properly                               1
relieve                                1
that                                   1
underwritten                           1
independently                          1
associated                             1
satisfaction                           1
then                                   1
due                                    2
own                                    2
this                                   1
large                                  1
does                                   3
have                                   1
participating                          2
purchase                               1
from                                   1
recourse                               1
possible                               1
collateral                             1
if                                     1
generally                              4
money                                  1
underwriting                           1
institution                            1
performs                               1
look                                   1
participated                           1
phony                                  1
is                                     3
with                                   4
schemes                                2
debt                                   1
a                                      4
the                                   21
in                                     2
therefore                              1
loans                                  8
either                                 1
entire                                 1
participates                           1
documentation                          1
diligence                              2
part                                   1
broker                                 2

Totals:                     94       184
