Token                          Frequency
-----------------------------  ---------
need                                   1
they                                   1
appear                                 1
for                                    4
masquerade                             1
brokerage                              3
www.nfa.futures.org/basicnet           1
whether                                1
thresholds                             1
of                                     2
are                                    2
stock                                  1
futures                                5
shops                                  3
search                                 1
on                                     2
2011                                   1
these                                  2
or                                     6
national                               1
meet                                   1
like                                   1
not                                    3
egister.asp                            1
them                                   1
will                                   1
retail                                 1
go                                     1
series                                 1
examination                            1
bucket                                 3
brought                                1
fraudulent                             1
easy                                   1
depending                              1
do                                     1
license                                1
options                                2
files                                  1
authorized                             1
may                                    1
firm                                   3
pages                                  1
a                                      2
true                                   1
licensing                              1
enterprises                            1
brokers                                3
to                                     7
transactions                           1
individual                             2
firms                                  3
type                                   1
fraud                                  2
personnel                              1
would                                  3
any                                    2
three                                  1
1.1536                                 1
required                               2
be                                     6
financial                              2
status                                 1
professional                           1
and                                    8
that                                   2
salespeople                            1
associated                             1
against                                1
operate                                1
examiners                              1
securities                             3
does                                   1
other                                  2
one                                    1
legitimate                             3
complaints                             1
requirements                           2
solution                               1
business                               2
businesses                             1
www.finra.org/investors/toolscalculators/brokercheck/index.htm         1
if                                     1
able                                   1
www.sec.gov/investor/brokers.htm         1
finding                                1
licensed                               1
all                                    2
www.nfa.futures.org/registration/who_has_to_r         1
is                                     2
engages                                1
as                                     2
you                                    1
the                                    4
registration                           1
persons                                1
in                                     1
pass                                   1
manual                                 1
commodity                              2
see                                    1
registered                             2
there                                  1
an                                     1
bypass                                 1
operations                             1
certain                                1
their                                  1
also                                   1

Totals:                    109       182
