Token                          Frequency
-----------------------------  ---------
need                                   1
limited                                1
appear                                 1
borrower                              10
36                                     2
manage                                 1
flow                                   1
managing                               1
lure                                   1
absorbing                              1
occurs                                 1
time                                   1
financing                              3
lingering                              1
approved                               1
scheme                                 6
contribution                           1
2011                                   2
commission                             1
guaranteeing                           1
substantial                            1
these                                  3
turn                                   1
offers                                 2
neighborhood                           1
builder                               16
builders                               4
loan                                   8
few                                    1
fee                                    1
borrowers                              1
price                                  2
30                                     1
ownership                              1
$200,000                               3
payments                               3
appraisal                              3
continues                              1
silent                                 2
offered                                1
typically                              1
fails                                  1
simple                                 1
use                                    1
fraudulent                             1
scenarios                              1
12                                     2
obtains                                3
current                                2
usually                                2
debts                                  1
left                                   1
ew                                     1
may                                    9
•                                     16
forgives                               1
payment                                2
buyers                                 3
illegal                                1
a                                     31
n                                      1
back                                   1
forgiven                               1
seller                                 5
material                               2
seek                                   1
new                                    1
10                                     1
remain                                 2
original                               1
down                                   3
quickly                                1
agree                                  1
keep                                   1
bailout                                3
to                                    27
transactions                           2
percent                                2
basis                                  1
provide                                1
straw                                  7
$20,000                                1
by                                     1
ltv                                    2
enough                                 1
has                                    3
expenses                               1
who                                    2
amount                                 2
necessarily                            1
after                                  1
values                                 1
splits                                 1
any                                    2
concessions                            3
be                                     4
financial                              5
so                                     1
whose                                  1
period                                 1
agent                                  1
sale                                   1
and                                   15
that                                   7
deteriorating                          1
often                                  2
cash                                   2
examiners                              2
disclosed                              2
example                                1
make                                   1
does                                   1
can                                    1
steered                                2
legitimate                             2
purchase                               3
lavish                                 1
following                              1
complete                               1
especially                             1
pay                                    3
four                                   2
misrepresentations                     2
institution                            2
builder-bailout                        1
at                                     1
promise                                1
as                                     4
inflated                               5
variety                                1
unsold                                 1
months                                 2
which                                  1
tract                                  1
an                                     4
there                                  1
off                                    1
out                                    1
they                                   1
,000                                   1
for                                   14
suffering                              1
test                                   1
no                                     3
originate                              1
determine                              1
involve                                1
house                                  2
whether                                1
of                                    11
thresholds                             1
are                                    4
delinquent                             1
vacant                                 2
turnkey                                1
buyer                                  6
on                                     4
guarantees                             1
sold                                   1
services                               1
form                                   1
or                                     7
mortgage                               2
incentives                             3
without                                1
create                                 1
include                                3
hud-1                                  1
not                                    6
disproportionate                       1
now                                    1
them                                   1
then                                   1
will                                   2
years                                  2
inflation                              1
ask                                    1
some                                   2
lender                                 4
might                                  2
home                                   2
getting                                1
assistance                             1
qualifies                              1
closes                                 1
title                                  2
remaining                              1
sell                                   2
money                                  1
rebate                                 1
construction                           2
engaging                               1
just                                   1
schemes                                3
true                                   1
90-percent                             1
verbal                                 1
represents                             1
100-percent                            1
broker                                 2
based                                  2
qualified                              2
closing                                2
follows                                1
but                                    5
equity                                 3
second                                 1
remains                                1
sometimes                              1
transaction                            2
buy                                    1
variation                              1
decline                                1
actually                               1
used                                   1
type                                   1
fraud                                  5
though                                 1
been                                   1
income-generating                      1
his                                    2
when                                   1
value                                  1
difficulties                           1
homes                                  2
asking                                 1
goes                                   2
such                                   1
majority                               1
property                               7
properties                             4
marginal                               1
wants                                  1
statement                              1
default                                1
market                                 2
delinquency                            1
company                                2
involving                              3
even                                   1
no-risk                                1
this                                   5
$200                                   1
other                                  3
allow                                  1
have                                   2
participating                          2
undertake                              1
from                                   2
investment                             2
real                                   1
another                                1
order                                  1
recoup                                 1
if                                     2
induced                                1
below                                  1
affiliated                             1
find                                   1
1.927                                  1
1.926                                  1
with                                   7
is                                    17
it                                     2
dispose                                1
recruits                               1
gets                                   1
play                                   1
into                                   2
agreement                              1
potential                              1
the                                   59
$220,000                               2
in                                     7
intent                                 1
manual                                 2
two                                    1
hidden                                 1
necessary                              1
negative                               1
undisclosed                            1
also                                   2
first                                  2
occupy                                 1
estate                                 1

Totals:                    285       704
