Token                          Frequency
-----------------------------  ---------
to                                     2
jurisdictions                          1
deposit                                1
for                                    1
institutions                           2
smuggling                              5
luggage                                1
u.s                                    2
express                                1
anti-money                             1
procedures                             1
policies                               1
effective                              1
private                                2
smugglers                              1
laundering                             1
of                                     1
typical                                1
hide                                   1
rise                                   2
criminal                               1
on                                     1
vehicles                               1
fund                                   1
commercial                             1
financial                              2
lax                                    1
is                                     4
with                                   1
packages                               1
or                                     2
boats                                  1
shipments                              1
at                                     1
the                                    5
in                                     3
bulk                                   4
and                                    1
enterprises                            1
which                                  1
cash                                   6
due                                    1
operations                             1
increasingly                           1
foreign                                1
also                                   1
aircrafts                              1
out                                    1

Totals:                     48        76
