Token                          Frequency
-----------------------------  ---------
they                                   1
using                                  3
store                                  1
for                                    1
checks                                 9
customer                               1
stealing                               1
of                                     3
although                               1
are                                    6
stock                                  4
dried                                  1
false                                  1
on                                     1
year                                   1
fraudster                              1
place                                  1
information                            1
million                                1
relatively                             1
once                                   2
deposited                              1
washing                                3
without                                1
purchased                              1
obtain                                 1
them                                   1
then                                   2
small                                  1
theft                                  2
hardware                               1
easily                                 1
most                                   2
cashed                                 3
mailboxes                              1
written                                1
—                                      3
write                                  1
usually                                1
acquired                               1
sophisticated                          1
stolen                                 6
steal                                  1
•                                      3
blank                                  2
mail-order                             1
a                                      7
increasing                             1
already                                1
printer                                1
alter                                  1
new                                    2
tu                                     1
ne                                     1
account                                1
washers                                1
to                                     3
methods                                1
canceled                               4
drop                                   1
$815                                   1
u.s                                    1
since                                  1
identifications                        1
fraud                                  1
every                                  1
chemicals                              1
amount                                 1
takes                                  1
inserted                               1
sent                                   1
any                                    1
three                                  1
be                                     3
easier                                 1
likely                                 1
professional                           1
and                                    9
that                                   1
corporate                              1
amounts                                1
mailrooms                              1
even                                   1
passing                                1
does                                   1
can                                    4
have                                   2
from                                   2
encoded                                1
solution                               1
rate                                   1
order                                  1
implications                           1
statements                             1
question                               1
types                                  1
mail                                   1
negotiated                             1
with                                   1
is                                     3
alarming                               1
it                                     2
check                                 16
can’t                                  1
thieves                                1
makes                                  1
at                                     2
into                                   1
the                                    9
in                                     2
which                                  1
address                                1
an                                     1
target                                 1
thief                                  1

Totals:                    115       208
