Token                          Frequency
-----------------------------  ---------
to                                     4
they                                   1
but                                    1
store                                  1
risks                                  1
for                                    1
tool                                   1
checks                                 3
of                                     1
avoid                                  1
operation                              1
are                                    2
any                                    1
on                                     1
bank                                   1
taken                                  1
be                                     1
these                                  1
wishes                                 1
or                                     1
establishments                         2
seized                                 1
and                                    1
fee                                    1
telemarketer                           1
that                                   2
traced                                 1
ordinarily                             1
them                                   1
late                                   1
company                                1
cash                                   1
complain                               1
require                                1
small                                  1
try                                    1
room                                   1
stop                                   1
might                                  1
rarely                                 1
setting                                1
another                                1
personal                               1
disposal                               1
if                                     1
boiler                                 1
too                                    1
is                                     1
may                                    1
payment                                1
a                                      4
at                                     1
the                                    4
customers                              2
check-cashing                          2
up                                     1
convenient                             1
identification                         1
account                                1
cashes                                 1
their                                  1

Totals:                     61        77
