Token                          Frequency
-----------------------------  ---------
2008                                   1
2009                                   1
president                              1
holding                                1
knowingly                              4
party                                  2
3729                                   1
recipient                              2
over                                   2
approved                               1
2011                                   1
government                            13
responsibility                         1
defined                                2
once                                   1
allison                                1
engine                                 1
under                                  4
prosecution                            3
requested                              2
1                                      1
31                                     1
perpetrator(s                          1
own                                    1
continues                              1
ways                                   1
knowledge                              1
acts                                   1
fera                                   6
before                                 1
overturns                              1
made                                   3
states                                 2
ignorance                              1
fraudulent                             3
20                                     1
leave                                  1
significant                            1
truth                                  2
civil                                  7
commits                                1
obama                                  1
demanded                               2
reduces                                1
may                                    5
•                                      6
prosecute                              1
payment                                2
plaintiff                              3
liable                                 1
a                                     23
reasonable                             2
v                                      1
reckless                               1
having                                 1
et                                     1
part                                   2
decrease                               1
behalf                                 1
to                                    28
percent                                2
award                                  1
by                                     5
has                                    1
must                                   1
who                                    1
obligation                             1
any                                    4
expand                                 1
taken                                  1
presented                              3
be                                     8
demand                                 2
claims                                10
enacts                                 1
get                                    5
contractor                             2
§                                      5
$5,000                                 1
and                                    6
eliminates                             1
that                                   8
co                                     1
against                                1
several                                1
examiners                              1
case                                   3
enforcement                            1
does                                   2
justice                                1
result                                 1
can                                    1
$10,000                                1
department                             1
grantee                                2
following                              2
federal                                3
pay                                    1
employee                               1
defendant                              2
qui                                    2
transmit                               1
law                                    3
separate                               1
requirement                            1
makes                                  2
approval                               1
as                                     3
provides                               3
fees                                   2
recovery                               3
which                                  3
take                                   2
an                                     2
suit                                   2
seq                                    1
actual                                 1
reimburse                              1
claim                                  9
person                                 3
knowing                                1
for                                    6
supreme                                1
no                                     1
otherwise                              1
liability                              3
awarded                                1
involve                                1
court                                  2
deliberate                             1
conceal                                1
whether                                1
avoid                                  1
of                                    15
are                                    1
2.245                                  1
among                                  1
criminal                               2
false                                 19
on                                     3
broadens                               1
plus                                   2
information                            3
or                                    34
did                                    1
3729(a)(3                              1
3729(a)(7                              1
include                                1
not                                    3
record                                 2
damages                                1
funds                                  1
3729(a)(1                              1
3729(a)(2                              1
will                                   1
language                               1
wins                                   1
tam                                    2
getting                                1
proof                                  1
treble                                 1
costs                                  2
private                                3
paid                                   4
title                                  1
removing                               2
words                                  1
money                                  5
portion                                2
25–30                                  1
united                                 2
disregard                              1
signed                                 1
legislation                            1
establish                              1
per                                    1
successfully                           2
attach                                 1
amends                                 1
sustains                               1
filed                                  1
allowed                                1
attorneys                              2
but                                    1
cause                                  1
allegedly                              1
individual                             1
prosecutes                             1
u.s                                    1
used                                   2
fraud                                  3
related                                1
u.s.c                                  1
his                                    1
primary                                1
request                                2
15–25                                  1
action                                 4
official                               1
penalty                                1
required                               3
directly                               2
counterpart                            1
joins                                  1
such                                   1
contract                               1
conspires                              1
property                               6
presents                               1
statement                              2
called                                 1
even                                   2
acting                                 2
this                                   1
causes                                 3
other                                  3
specific                               1
have                                   1
from                                   1
falsity                                2
officer                                1
allows                                 1
if                                     7
defraud                                2
3729(a                                 1
statute                                1
is                                     9
it                                     3
definition                             1
into                                   1
the                                   62
addition                               1
in                                     6
intent                                 2
section                                1
manual                                 1
uses                                   2
intend                                 2
act                                   10
also                                   2
changes                                2

Totals:                    241       647
