Token                          Frequency
-----------------------------  ---------
to                                     3
basis                                  1
versus                                 1
involve                                1
offenses                               1
fraud                                  2
whether                                2
of                                     4
although                               1
insidious                              1
burden                                 1
criminal                               4
primary                                1
on                                     2
be                                     2
demonstrate                            1
prove                                  1
pursues                                1
or                                     1
constraints                            1
willful                                1
and                                    3
dictate                                1
difference                             1
that                                   2
pursued                                1
failure                                1
crime                                  2
than                                   1
view                                   1
case                                   2
might                                  4
raise                                  1
can                                    1
irs                                    3
behavior                               1
because                                1
cooperate                              1
determinant                            1
rather                                 1
civil                                  6
believes                               1
too                                    1
between                                1
is                                     4
civilly                                1
it                                     3
a                                      8
into                                   1
proving                                1
the                                    7
intent                                 1
budgetary                              1
in                                     1
never                                  1
charge                                 1
what                                   1
there                                  1
suit                                   1
criminally                             1
staffing                               1
also                                   1
ripens                                 1
disposed                               1

Totals:                     64       109
