Token                          Frequency
-----------------------------  ---------
they                                   2
person                                 1
photograph                             1
manager                                1
for                                    2
instructed                             1
treatment                              1
conducted                              1
equipment                              2
answered                               1
operation                              1
of                                     5
are                                    3
drive                                  1
initiate                               1
performing                             1
on                                     2
2011                                   2
activities                             2
duties                                 2
working                                2
signature                              1
copy                                   1
opened                                 1
these                                  1
asked                                  1
reported                               1
secured                                1
how                                    1
or                                     4
done                                   1
questions                              2
did                                    2
hobbies                                1
part-time                              1
he                                     1
health                                 2
not                                    1
conditions                             1
obtain                                 3
now                                    1
performed                              3
each                                   1
guarded                                1
?                                     12
exam                                   1
examination                            1
machinery                              1
accident                               5
housekeeping                           1
accordance                             1
workplace                              1
run                                    1
date                                   1
occurred                               1
jog                                    1
document                               1
normally                               1
patient                                3
do                                     1
license                                1
ability                                1
just                                   1
•                                      9
responsible                            1
signed                                 2
a                                      6
1.1201                                 1
indicators                             1
should                                 7
obtaining                              1
independent                            1
differ                                 1
what                                   4
injury                                 2
to                                     8
transactions                           2
but                                    1
cause                                  1
instructions                           1
being                                  3
sports                                 1
spite                                  1
good                                   2
perform                                1
by                                     3
used                                   1
where                                  1
fraud                                  7
full-time                              1
must                                   1
been                                   1
who                                    1
prior                                  1
after                                  1
were                                   1
suspicion                              1
level                                  1
medical                                2
his                                    2
any                                    1
when                                   2
care                                   1
investigation                          3
had                                    1
be                                     7
financial                              2
work                                   3
such                                   1
condition                              1
so                                     1
regards                                1
1.1123                                 1
reportable                             1
and                                    5
statement                              2
properly                               3
that                                   2
injured                                2
doing                                  1
examiners                              2
whom                                   1
walk                                   1
lighted                                1
immediately                            2
does                                   1
insurance                              1
other                                  1
can                                    1
have                                   1
way                                    2
purpose                                1
from                                   3
applicable                             1
safely                                 1
was                                    7
another                                1
possible                               2
following                              2
area                                   2
carrying                               1
illness                                1
able                                   1
if                                     1
swim                                   1
safer                                  1
driver                                 1
participate                            1
employee                               9
activity                               1
all                                    1
with                                   3
is                                     5
it                                     1
regular                                1
your                                   3
at                                     1
as                                     7
you                                    2
the                                   35
daily                                  1
photo                                  1
soon                                   2
in                                     9
manual                                 2
identification                         1
an                                     3
there                                  2
suited                                 1
manner                                 1
discussed                              1
tips                                   1
disabled                               1
claimant                               1
employees                              1
out                                    1

Totals:                    176       367
