Token                          Frequency
-----------------------------  ---------
claims                                 2
using                                  1
payment                                1
can                                    1
submit                                 1
contract                               2
a                                      2
under                                  1
number                                 1
relative                               2
and                                    1
them                                   1
fabricate                              1
employees                              1

Totals:                     14        18
