Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   1
writings                               1
appearance                             1
individual                             1
by                                     1
fraud                                  1
same                                   2
people                                 1
necessarily                            1
of                                     1
are                                    2
correct                                1
when                                   1
developing                             1
be                                     1
class                                  2
samples                                2
and                                    2
not                                    2
that                                   1
examiners                              2
some                                   1
this                                   1
different                              2
might                                  1
can                                    1
similarities                           1
misled                                 1
writing                                1
from                                   1
suspects                               1
share                                  1
document                               1
style                                  1
alike                                  1
similar                                1
look                                   2
mistake                                1
characteristics                        2
the                                    4
mistaking                              1
seem                                   1
should                                 1
in                                     4
superficial                            1
fact                                   1
layman                                 1
forensic                               1
very                                   1

Totals:                     50        67
