Token                          Frequency
-----------------------------  ---------
developed                              2
winner                                 1
recipient                              1
free                                   1
time                                   3
over                                   4
comprehensive                          2
role                                   2
2011                                   1
price-fixing                           1
high-level                             1
slow                                   1
government                             1
white-collar                           1
how                                    1
death                                  1
companies                              4
image                                  1
number                                 1
he                                     1
titled                                 1
investigate                            1
disaster                               1
1980                                   1
6                                      1
crime                                  4
computer                               1
press                                  1
dependent                              1
bribe-giving                           1
difficult                              1
11                                     1
oil                                    1
life                                   1
motor                                  1
examined                               2
cressey                                2
may                                    1
prosecute                              1
b                                      1
c                                      1
illegal                                2
a                                     11
cannot                                 1
deterrence                             1
l,553                                  1
replace                                1
new                                    1
irwin                                  1
public                                 1
part                                   1
to                                     7
percent                                2
change                                 1
least                                  1
become                                 1
clinard                                5
lead                                   1
offenses                               2
award                                  2
tragedy                                1
by                                     3
firms                                  1
candidate                              1
consumer                               1
law-breaking                           1
has                                    2
unwilling                              1
corporations                           4
values                                 1
vaughan                                1
losses                                 1
had                                    3
contributions                          2
be                                     4
financial                              1
victimize                              1
reward                                 1
association                            1
wrongdoing                             1
likely                                 1
period                                 1
charged                                1
economic                               1
and                                   24
that                                   7
particularly                           2
often                                  2
against                                2
examiners                              1
case                                   1
foreign                                1
large                                  1
legal                                  1
enforcement                            1
reflection                             1
can                                    1
coffers                                1
dealing                                1
understanding                          1
routine                                1
businesses                             1
destroy                                1
bonuses                                1
organization                           3
federal                                1
pay                                    1
4.505                                  1
60                                     1
activity                               1
appeared                               1
individuals                            2
two-year                               1
law                                    1
five                                   1
at                                     2
as                                     1
still                                  1
needed                                 1
which                                  1
an                                     1
provided                               1
increasingly                           1
executives                             2
562                                    1
employees                              1
out                                    1
they                                   1
for                                    3
criminality                            1
evasion                                1
shuttle                                1
hundred                                1
actor                                  1
corporation                            1
of                                    22
hazards                                1
are                                    5
deaths                                 1
income                                 1
criminal                               5
prevention                             1
on                                     3
only                                   1
activities                             3
carry                                  1
groups                                 1
anti-trust                             2
ross                                   1
or                                     6
matters                                1
subcultures                            1
health                                 1
477                                    1
responses                              1
include                                1
not                                    2
traced                                 1
priorities                             1
category                               1
bribe-taking                           1
tax                                    2
them                                   2
say                                    1
will                                   2
pharmaceutical                         1
records                                1
some                                   2
examination                            1
complexity                             1
vehicle                                1
5marshall                              1
most                                   1
space                                  1
costs                                  1
violations                             3
ineffectual                            1
payoffs                                1
campaign                               1
seventeen                              1
cases                                  2
characteristics                        1
true                                   2
confidence                             1
emphasized                             1
violators                              1
industrial                             1
donald                                 1
successfully                           1
rooted                                 2
within                                 1
filed                                  1
but                                    2
individual                             1
last                                   1
little                                 1
study                                  3
fortune                                2
fraud                                  4
attitudes                              2
been                                   2
function                               1
were                                   4
turned                                 1
his                                    1
intricacy                              1
when                                   1
analyzed                               1
crimes                                 3
such                                   1
peter                                  2
kinds                                  1
1,043                                  1
discover                               1
enterprise                             1
decision-making                        1
embedded                               1
500                                    1
yeager                                 5
corporate                              4
injuries                               1
importance                             1
involving                              1
diane                                  1
challenger                             1
included                               1
this                                   1
favors                                 1
have                                   1
one                                    3
state                                  1
believe                                2
was                                    1
while                                  2
because                                1
another                                2
york                                   1
participate                            1
subculture                             1
revenue                                1
those                                  3
is                                     2
with                                   2
it                                     1
political                              1
matter                                 1
ultimately                             1
4.4                                    1
list                                   2
the                                   25
growing                                1
in                                    12
manual                                 1
governments                            1
organizational                         4
hurt                                   1
deprive                                1
book                                   1
industries                             1
municipal                              1
marshall                               1
their                                  4
also                                   1
average                                1
found                                  1

Totals:                    265       478
