Token                          Frequency
-----------------------------  ---------
technique                              1
summary                                1
discussion                             1
maintain                               1
linda                                  1
knew                                   1
chance                                 1
until                                  1
furnish                                1
over                                   2
time                                   4
she                                    1
2011                                   3
something                              1
happen                                 1
right                                  1
these                                  1
asked                                  2
else                                   7
3.237                                  1
3.236                                  1
3.235                                  1
number                                 1
revisit                                1
available                              1
he                                     1
quiet                                  2
further                                2
discuss                                2
each                                   1
try                                    1
review                                 1
we                                     2
go                                     2
idea                                   2
give                                   2
next                                   1
interested                             1
didn’t                                 1
witness                                3
de                                     5
reconfirm                              2
leave                                  2
side                                   1
do                                     7
ensure                                 2
improper                               1
“                                      1
look                                   1
may                                    1
reed                                   1
documents                              3
whatever                               1
a                                     11
n                                      1
i                                     10
yes                                    1
suspected—but                          1
relationship                           1
either                                 1
informational                          1
good-bye                               1
what                                   3
part                                   1
vendors                                1
keep                                   2
relate                                 1
to                                    39
ca                                     1
provide                                2
we’ve                                  1
lead                                   1
good                                   2
by                                     3
interviews                             2
i’ll                                   1
has                                    2
must                                   1
seeks                                  1
would                                  5
facts                                 13
future                                 1
understood                             1
reputation                             1
any                                    4
su                                     1
card                                   1
invoices                               1
key                                    2
had                                    2
be                                     4
financial                              1
conclude                               2
vital                                  2
however                                2
so                                     1
impression                             1
effort                                 1
rumor                                  1
and                                   12
helpful                                3
that                                  14
often                                  1
whom                                   2
examiners                              3
previously                             1
summarize                              1
example                                8
case                                   1
opinions                               1
make                                   2
phase                                  2
straight                               1
misunderstood                          1
attempt                                4
respondents                            3
can                                    6
evidence                               2
about                                  4
routine                                1
business                               1
hand                                   1
following                              1
possible                               2
hands                                  1
especially                             1
generally                              1
statements                             1
name                                   2
unusual                                1
que                                    1
question                               1
all                                    4
talk                                   3
feel                                   2
haven’t                                1
makes                                  1
at                                     4
provides                               1
promise                                1
as                                     5
you                                   17
neither                                1
therefore                              3
anything                               3
which                                  2
helping                                1
take                                   1
there                                  7
an                                     5
cooperative                            1
approach                               1
provided                               4
our                                    1
out                                    1
specifically                           1
they                                   4
for                                    7
no                                     1
shake                                  1
determine                              1
door                                   2
involve                                1
leaves                                 1
people                                 2
open                                   1
of                                    12
help                                   1
are                                   10
given                                  1
correct                                3
respond                                1
rapport                                1
only                                   1
on                                     4
respondent                            15
final                                  1
information                           10
problems                               1
form                                   1
commitment                             1
or                                    11
questions                              4
establishing                           1
like                                   4
regarding                              1
not                                   10
obtain                                 3
them                                   3
will                                   2
say                                    5
conclusion                             2
years                                  1
ask                                    7
collins                                4
some                                   2
might                                  5
don’t                                  1
subject                                3
purposes                               1
recommended                            1
most                                   2
finally                                2
trying                                 1
fairly                                 2
thank                                  1
solve                                  1
closed                                 1
me                                     3
want                                   3
note                                   2
regardless                             1
just                                   1
resolve                                1
cases                                  1
let                                    1
absolutely                             1
ms                                     6
theme                                  1
helps                                  1
already                                1
unknown                                1
suggestions                            1
my                                     2
should                                 7
falsified                              1
additional                             7
interview                             10
stion                                  1
telephone                              1
closing                                4
count                                  1
second                                 1
innocent                               1
being                                  1
fraud                                  3
been                                   2
sources                                1
eight                                  1
witnesses                              2
were                                   3
gather                                 2
when                                   1
someone                                2
investigation                          3
proper                                 1
positive                               2
sure                                   3
shoes                                  1
asking                                 2
garza                                  5
situations                             1
appropriate                            1
admission-seeking                      1
kinds                                  1
here                                   1
assist                                 1
case—“if                               1
wants                                  1
statement                              1
confidentiality                        1
la                                     5
known                                  1
this                                  11
spected                                1
call                                   2
appreciate                             1
favors                                 1
other                                  4
i’d                                    1
have                                   8
volunteer                              1
issue                                  1
one                                    2
theory                                 3
add                                    1
adverse                                1
misinterpreted                         1
was                                    1
because                                2
minute                                 1
share                                  1
sure—th                                1
during                                 2
if                                    11
cooperation                            3
treated                                2
relevant                               5
invite                                 1
actively                               1
application                            3
is                                    14
with                                   5
it                                    11
standard                               1
gives                                  3
matter                                 2
important                              1
similarly                              1
your                                   4
closing-questions                      1
potential                              1
opens                                  1
the                                   65
addition                               2
perfunctory                            1
in                                    10
know                                   3
manual                                 3
hurt                                   1
opportunity                            3
innuendo                               1
interviewer                           18
hostile                                1
instead                                1
interviewed                            1
discussed                              2
their                                  2
also                                   4
step                                   1

Totals:                    320       901
