Token                          Frequency
-----------------------------  ---------
transactions                           1
but                                    1
falsify                                1
calculated                             1
wages                                  1
amount                                 3
of                                     8
salesperson                            1
are                                    2
his                                    2
sales                                  3
on                                     4
salary                                 1
commission                             5
yearly                                 1
form                                   2
hours                                  1
generates                              2
or                                     3
he                                     2
and                                    1
not                                    1
2                                      1
that                                   1
1                                      1
factors                                1
output                                 1
ways                                   1
unique                                 1
other                                  2
can                                    1
set                                    1
made                                   1
fraudulently                           1
paid                                   1
rate                                   1
words                                  1
worked                                 1
pay                                    1
rather                                 1
employee                               4
revenue                                1
is                                     4
those                                  1
it                                     1
schemes                                2
percentage                             2
a                                      6
as                                     1
commissioned                           1
the                                    4
in                                     1
compensation                           2
two                                    2
see                                    1
an                                     2
there                                  1
increase                               2
flowchart                              1
based                                  2

Totals:                     60       107
