Token                          Frequency
-----------------------------  ---------
to                                     2
for                                    1
excessive                              1
by                                     2
firms                                  2
its                                    1
customer                               1
of                                     1
futures                                6
1974                                   1
created                                1
dispute-resolution                     1
speculation                            1
on                                     2
affiliation                            1
commission                             3
concerning                             1
financial                              1
limits                                 1
reports                                1
information                            2
association                            1
or                                     1
national                               1
cftc                                   8
and                                    5
that                                   1
program                                1
against                                2
this                                   1
eliminate                              1
regulate                               1
position                               1
interstate                             1
result                                 1
states                                 1
from                                   1
through                                1
empowered                              1
complaints                             1
commerce                               1
following                              1
registrants                            2
maintains                              1
speculative                            1
contracts                              1
administrative                         1
injunctive                             1
members                                1
all                                    1
trading                                4
individuals                            2
•                                      4
united                                 1
may                                    1
with                                   1
it                                     1
deter                                  1
a                                      1
moreover                               1
as                                     1
provides                               1
the                                   10
registration                           1
customers                              1
in                                     1
needed                                 1
commodity                              3
imposes                                1
burdens                                1
nfa                                    1
act                                    1
decrease                               1
actions                                1
filed                                  3

Totals:                     75       120
