Token                          Frequency
-----------------------------  ---------
2008                                   1
$14,212                                1
using                                  2
particular                             1
visit                                  1
participants                           1
liquidated                             1
over                                   2
time                                   9
compared                               1
features                               3
2011                                   6
something                              1
multiplied                             1
right                                  3
bought                                 2
black                                  1
these                                  5
purchases                              2
off-exchange                           1
ibm                                    3
companies                              1
he                                     1
worthless                              3
$65                                    4
cleared                                2
further                                1
frauds                                 1
european                               1
5                                      1
bankruptcy                             1
each                                   5
knowledge                              1
made                                   2
fraudulent                             1
counterparty                           4
six                                    1
stake                                  1
could                                  2
current                                1
write                                  1
usually                                2
noting                                 1
do                                     1
exercised                              4
may                                    4
transfers                              1
markets                               11
needs                                  1
firm                                   1
louisiana                              1
a                                     43
web                                    1
meaning                                1
specifications                         1
insufficient                           1
notional                               7
s                                      2
what                                   2
introduced                             1
successful                             1
hedging                                1
maintained                             1
banks                                  1
x                                      4
transactions                          11
physical                               2
basis                                  1
$10                                    1
by                                    14
firms                                  3
same                                   1
long                                   5
has                                    2
.10                                    2
who                                    2
volatility                             2
obligation                             5
personnel                              1
would                                  3
basic                                  1
future                                 4
any                                    3
bank                                   1
derived                                3
had                                    2
bushels                                3
primarily                              1
be                                    16
1.1531                                 1
financial                              8
$23                                    1
1.1530                                 1
notable                                1
derives                                1
forces                                 1
eliminates                             1
and                                   47
particularly                           1
factors                                1
1.1529                                 1
often                                  2
1.1527                                 1
active                                 1
examiners                              6
1.1528                                 1
1.1526                                 1
securities                             7
day                                    4
example                                6
make                                   7
large                                  1
collect                                1
unrealized                             2
insurance                              1
credited                               1
set                                    4
today                                  2
exercise                               5
purchase                               2
through                                2
$22.90                                 2
$3                                     2
business                               2
monitors                               1
style                                  3
pay                                    1
offset                                 3
types                                  1
all                                    1
appeared                               1
members                                1
individuals                            1
keeps                                  1
sides                                  2
scholes                                1
andrew                                 1
trillions                              1
requirement                            1
$88.29                                 1
makes                                  1
at                                    25
as                                    10
commodities                            1
equal                                  1
persons                                1
main                                   2
topics                                 1
which                                  5
take                                   2
there                                  6
an                                    12
lowered                                1
counterparties                         2
margins                                1
they                                   3
traders                                3
reason                                 1
no                                     1
concern                                1
rights                                 1
determine                              1
fastow                                 2
impose                                 2
basics                                 1
of                                    76
futures                               29
deliver                                2
www.cboe.com                           1
buyer                                  8
on                                    14
only                                   5
activities                             1
standardized                           6
worth                                  1
central                                2
itself                                 1
$135                                   1
transfer                               1
support                                1
or                                    21
numerous                               1
board                                  2
include                                1
rose                                   2
funds                                  2
committee                              1
county                                 1
them                                   2
debacles                               1
will                                   6
delivery                              11
obligated                              2
small                                  1
upon                                   1
sellers                                2
raised                                 1
airtight                               1
most                                   1
short                                  4
principle                              2
remaining                              1
rather                                 1
closed                                 3
internal                               2
trading                                9
held                                   1
dollars                                1
