Token                          Frequency
-----------------------------  ---------
to                                     1
does                                   1
might                                  1
but                                    1
hesitate                               1
demands                                2
other                                  1
for                                    1
subject                                1
being                                  2
use                                    1
good                                   1
weighs                                 1
must                                   1
because                                1
necessarily                            1
of                                     3
time                                   3
competing                              1
value                                  2
on                                     1
something                              1
place                                  1
else                                   1
respondent                             2
is                                     1
a                                      2
the                                    6
convince                               1
begin                                  1
not                                    1
that                                   1
interviewer                            1
interview                              2
against                                1
an                                     1
doing                                  1
interviewed                            2
successful                             1
negative                               1

Totals:                     40        56
