Token                          Frequency
-----------------------------  ---------
they                                   1
for                                    3
its                                    1
technical                              1
occurs                                 1
of                                     2
are                                    3
criminologists                         1
criminal                               1
laws                                   1
on                                     1
voluntary                              2
these                                  3
strategies                             2
host                                   1
or                                     1
hopes                                  1
incentives                             1
sanctions                              1
without                                1
include                                1
system                                 1
proverbial                             1
measures                               1
mechanisms                             1
some                                   1
common                                 1
before                                 1
criticized                             1
wrist                                  1
use                                    1
most                                   1
penalties                              3
violations                             1
punishments                            1
experts                                1
a                                      3
imposed                                1
deterrence                             1
violators                              2
process                                1
slap                                   1
wealthy                                1
having                                 1
to                                     8
provide                                1
little                                 2
by                                     2
compliance                             9
since                                  1
has                                    2
been                                   1
after                                  1
amount                                 1
corporations                           1
more                                   1
theories                               1
crimes                                 1
systems                                1
control                                1
such                                   1
controlled                             1
means                                  1
economic                               2
and                                    2
that                                   1
encourage                              1
efforts                                1
than                                   1
called                                 1
case                                   1
example                                1
large                                  1
enforcement                            1
irs                                    1
have                                   1
achieve                                1
believe                                1
infraction                             1
administrative                         2
conformity                             1
offense                                1
law                                    1
detect                                 1
with                                   1
is                                     1
violation                              1
as                                     1
the                                    8
addition                               1
in                                     3
rules                                  1
main                                   1
environmental                          1
two                                    1
penalize                               1
effect                                 1
sec                                    1
an                                     1
uses                                   1
also                                   2
occur                                  1

Totals:                    102       147
