Token                          Frequency
-----------------------------  ---------
summary                                1
via                                    1
employment                             1
for                                    1
rights                                 1
party                                  3
complying                              1
of                                     9
free                                   1
spute                                  1
excluded                               1
e.g                                    1
gathering                              1
report                                 5
2011                                   1
on                                     1
right                                  2
copy                                   2
else                                   1
information                            5
terminating                            1
or                                     4
under                                  1
did                                    1
job                                    1
number                                 1
available                              1
third                                  3
fair                                   1
include                                2
not                                    2
violate                                1
obtain                                 3
then                                   1
will                                   1
disclosure                             4
reporting                              2
explain                                1
fcra                                   3
upon                                   1
relies                                 1
might                                  1
before                                 2
use                                    1
workplace                              1
decision                               1
clear                                  1
document                               2
di                                     1
written                                2
current                                1
denying                                2
notice                                 4
“                                      1
prospective                            1
may                                    1
•                                      7
a                                     14
supplied                               1
complied                               1
cannot                                 1
conspicuous                            1
taking                                 1
days                                   1
additional                             1
nothing                                1
within                                 1
accuracy                               1
to                                     3
phone                                  1
ftc                                    1
individual                             6
provide                                2
authorization                          2
contains                               1
consumer                               6
same                                   1
long                                   1
fraud                                  1
been                                   1
has                                    2
must                                   5
sources                                1
after                                  1
pre-adverse                            1
his                                    1
request                                1
any                                    1
action                                 8
taken                                  3
comply                                 1
investigation                          2
credit                                 1
be                                     2
connection                             1
however                                2
and                                    7
statement                              1
inform                                 2
that                                   7
examiners                              1
make                                   1
this                                   1
reassigning                            1
can                                    2
promotion                              1
about                                  1
employer                               7
contained                              1
from                                   4
requirements                           2
adverse                                6
was                                    1
completeness                           1
following                              2
cra                                    2
if                                     2
name                                   1
notify                                 1
60                                     1
employee                               2
all                                    1
law                                    1
is                                     3
separate                               1
with                                   6
application                            1
it                                     3
3.406                                  1
your                                   1
agency                                 2
as                                     2
equal                                  1
the                                   38
in                                     2
section                                1
manual                                 1
misconduct                             1
furnished                              1
which                                  1
see                                    1
address                                1
an                                     5
act                                    1
why                                    1

Totals:                    145       323
