Token                          Frequency
-----------------------------  ---------
computer                               2
can                                    1
increased                              1
use                                    1
creates                                1
shielding                              1
masking                                1
of                                     1
if                                     1
whenever                               1
on                                     1
unusual                                1
processing                             1
emanations                             3
with                                   1
it                                     1
appropriate                            1
buildup                                1
a                                      1
feasible                               1
the                                    1
addition                               1
in                                     2
traffic                                1
start                                  1
company                                1
will                                   1
down                                   1
cut                                    1
early                                  1
non-sensitive                          1

Totals:                     31        35
