Token                          Frequency
-----------------------------  ---------
methods                                1
to                                     4
transactions                           3
appear                                 1
for                                    2
no                                     1
liability                              1
little                                 1
by                                     2
since                                  1
actually                               1
fraud                                  1
impact                                 1
auditors                               1
expenses                               4
missing                                2
amount                                 1
of                                     2
capitalized                            1
are                                    1
more                                   1
commit                                 1
sales                                  1
income                                 1
trail                                  1
three                                  1
on                                     1
fraudster                              1
falsifying                             1
be                                     2
financial                              2
concealing                             1
reported                               1
relatively                             1
disclose                               1
omissions                              1
easier                                 1
concealed                              1
or                                     1
effort                                 1
much                                   1
and                                    4
not                                    1
statement                              1
failure                                1
than                                   3
company                                1
will                                   1
recorded                               2
warranty                               1
make                                   1
this                                   1
harder                                 1
ways                                   1
liability/expense                      1
can                                    3
common                                 1
have                                   1
one                                    1
costs                                  1
because                                1
leave                                  1
significant                            1
full                                   1
statements                             1
pre-tax                                1
earnings                               1
detect                                 1
•                                      3
is                                     3
with                                   1
it                                     2
profitable                             1
a                                      2
audit                                  1
the                                    5
ones                                   1
improperly                             1
liabilities                            4
understating                           1
expense                                1
manipulated                            1
there                                  1
increase                               1
method                                 1
also                                   1

Totals:                     86       121
