Token                          Frequency
-----------------------------  ---------
they                                   1
for                                    1
shake                                  1
maintain                               1
door                                   1
chance                                 1
leaves                                 1
people                                 1
until                                  1
open                                   1
of                                     4
help                                   1
time                                   3
are                                    1
given                                  1
rapport                                1
on                                     1
2011                                   1
happen                                 1
these                                  1
respondent                             6
else                                   2
information                            2
final                                  1
3.237                                  1
commitment                             1
or                                     3
questions                              1
number                                 1
establishing                           1
like                                   1
not                                    4
obtain                                 1
them                                   2
discuss                                2
will                                   2
say                                    1
conclusion                             1
ask                                    5
some                                   1
we                                     1
idea                                   2
don’t                                  1
give                                   1
subject                                1
recommended                            1
finally                                1
fairly                                 2
de                                     2
thank                                  1
leave                                  1
me                                     1
do                                     2
want                                   1
ensure                                 1
just                                   1
may                                    1
cases                                  1
a                                      5
ms                                     2
n                                      1
helps                                  1
should                                 3
i                                      4
good-bye                               1
additional                             2
interview                              4
stion                                  1
telephone                              1
to                                    12
ca                                     1
count                                  1
innocent                               1
good                                   2
fraud                                  1
has                                    2
been                                   2
were                                   1
facts                                  1
future                                 1
reputation                             1
any                                    2
when                                   1
card                                   1
investigation                          1
proper                                 1
conclude                               1
garza                                  2
situations                             1
however                                1
admission-seeking                      1
kinds                                  1
effort                                 1
here                                   1
rumor                                  1
helpful                                1
and                                    6
statement                              1
that                                   3
la                                     2
examiners                              1
example                                4
make                                   1
this                                   6
attempt                                1
call                                   2
appreciate                             1
respondents                            3
can                                    2
i’d                                    1
have                                   4
one                                    1
about                                  1
theory                                 1
adverse                                1
business                               1
because                                2
share                                  1
hands                                  1
especially                             1
if                                     4
generally                              1
cooperation                            3
treated                                2
que                                    1
question                               1
relevant                               1
all                                    1
invite                                 1
feel                                   1
is                                     6
with                                   4
application                            1
it                                     7
standard                               1
matter                                 1
gives                                  1
important                              1
your                                   2
at                                     1
as                                     1
you                                    5
the                                   21
addition                               1
know                                   1
perfunctory                            1
in                                     4
therefore                              1
neither                                1
manual                                 1
hurt                                   1
anything                               2
innuendo                               1
interviewer                            7
hostile                                1
an                                     2
cooperative                            1
approach                               1
their                                  2
also                                   3
step                                   1
out                                    1

Totals:                    162       303
