Token                          Frequency
-----------------------------  ---------
conversion                             2
other                                  1
by                                     1
checks                                 4
fraudulent                             2
re-examined                            1
has                                    1
been                                   1
of                                     3
sections                               1
accomplished                           1
name                                   1
types                                  1
all                                    1
be                                     1
is                                     1
with                                   1
previous                               1
endorsing                              1
converting                             1
here                                   1
as                                     1
payee                                  1
the                                    3
already                                1
in                                     2
and                                    1
not                                    1
altered                                1
will                                   1
discussed                              1

Totals:                     31        41
