Token                          Frequency
-----------------------------  ---------
to                                     3
relating                               1
i-13                                   1
might                                  1
they                                   1
but                                    1
can                                    1
specific                               1
subordinates                           1
interviews                             1
fraud                                  1
third-party                            1
who                                    1
related                                1
after                                  1
witnesses                              6
are                                    2
inc                                    1
could                                  1
facts                                  2
2011                                   1
interviewing                           1
offense                                2
corroborate                            2
directly                               1
these                                  1
be                                     3
books                                  1
uncooperative                          1
with                                   1
those                                  1
or                                     2
done                                   1
a                                      1
at                                     1
the                                    1
neutral                                1
should                                 1
manual                                 1
not                                    1
involved                               1
bailey                                 1
corroborative                          3
cooperative                            1
examiners                              1
co-workers                             1
collins                                1
introduction                           1

Totals:                     48        64
