Token                          Frequency
-----------------------------  ---------
methods                                1
to                                     3
technology                             1
skilled                                1
no                                     1
by                                     1
negatives                              2
photocopy                              1
full-color                             1
etched                                 1
counterfeit                            4
reproduction                           1
old-style                              1
who                                    2
of                                     2
software                               1
over                                   1
were                                   1
are                                    5
features                               1
on                                     1
commercial                             1
these                                  1
processes                              2
text                                   1
high-quality                           1
relatively                             1
such                                   1
computerized                           1
printing                               5
scanners                               1
and                                    4
retouched                              2
that                                   1
copies                                 1
now                                    1
then                                   2
prepared                               1
photo-reproduction                     1
computer                               2
rapidly                                1
rubberized                             1
other                                  1
remove                                 1
carefully                              2
made                                   1
use                                    1
most                                   1
today                                  1
from                                   2
document                               2
novices                                1
allows                                 1
numbers                                1
genuine                                2
—                                      2
printers                               1
graphics                               1
experience                             1
various                                1
filled-in                              1
sophisticated                          1
appeared                               1
advancing                              1
photographic                           2
with                                   2
documents                              2
a                                      1
multicolor                             1
as                                     1
the                                    8
machines                               1
distinguishing                         1
begin                                  1
photo-offset                           1
process                                1
larcenous                              1
plates                                 4
which                                  1
days                                   1
artisans                               1
lithography                            1
counterfeiters                         1
printed                                1
uses                                   1
serial                                 1
produce                                1
counterfeiting                         1
flexography                            1

Totals:                     89       130
