Token                          Frequency
-----------------------------  ---------
using                                  1
chattel                                1
maintain                               1
designation                            1
its                                    2
obligations                            1
brok                                   1
time                                   1
defaults                               1
levels                                 2
2011                                   1
receives                               1
bureau                                 3
these                                  1
opened                                 1
companies                              1
number                                 1
calls                                  1
creditworthiness                       2
purchased                              1
credit-reporting                       3
ownership                              1
ucc                                    1
lines                                  1
each                                   1
big                                    1
trends                                 1
classifications                        1
typically                              1
foreclosures                           1
liens                                  1
give                                   1
made                                   1
data                                   3
use                                    1
states                                 1
collection                             2
date                                   1
differences                            1
resulting                              1
divorces                               1
agreements                             1
current                                1
do                                     1
convictions                            1
•                                      8
may                                    3
payment                                6
a                                      7
dissemination                          1
essentially                            1
bureaus                                2
legality                               1
including                              1
utility                                1
electronically                         1
en                                     1
histories                              1
down                                   1
public                                 3
maintained                             2
to                                     7
experian                               1
provide                                2
terms                                  1
by                                     7
interviews                             1
consumer                               8
must                                   2
balance                                2
updated                                1
unlike                                 1
facts                                  1
any                                    1
notified                               1
bank                                   1
paying                                 1
key                                    1
primarily                              1
be                                     4
presented                              1
agreed                                 1
reports                                4
schedules                              2
fax                                    1
indicating                             1
places                                 1
and                                   24
size                                   1
that                                   4
items                                  1
than                                   1
previously                             1
examiners                              1
collect                                1
does                                   1
obtained                               2
sex                                    1
can                                    2
trade                                  1
about                                  1
former                                 1
through                                1
businesses                             2
business                               5
chapter                                1
following                              2
organization                           1
bankruptcies                           1
subscription                           1
generally                              2
name                                   1
types                                  2
file-based                             1
outstanding                            1
activity                               1
all                                    1
consult                                1
members                                2
individuals                            1
consent                                1
accounts                               2
makes                                  1
at                                     1
as                                    10
owing                                  1
which                                  4
registered                             2
there                                  2
an                                     2
provided                               1
nine-point                             1
out                                    1
employment                             2
for                                    5
court                                  1
whether                                1
of                                    19
delinquent                             1
are                                    3
among                                  1
income                                 2
criminal                               1
report                                 6
only                                   2
on                                     8
information                           24
or                                     5
national                               3
regarding                              1
like                                   2
fair                                   2
responses                              1
include                                2
not                                    2
many                                   2
obtain                                 2
tax                                    1
will                                   1
associations                           1
reporting                             11
creditors                              4
subscribers                            2
creditor                               2
fcra                                   3
records                                4
some                                   2
gathers                                1
upon                                   1
subject                                2
institutions                           1
investigative                          1
purposes                               1
most                                   2
mortgages                              1
typical                                1
length                                 1
buying                                 1
files                                  3
united                                 1
cases                                  1
marketing                              1
collected                              1
larger                                 1
restricted                             1
lenders                                1
grantors                               2
obtaining                              1
account                                2
delinquencies                          1
but                                    2
send                                   1
restrictions                           1
individual                             2
filings                                1
since                                  1
used                                   1
type                                   2
fraud                                  1
sources                                4
specialized                            1
habits                                 2
were                                   1
regularly                              2
please                                 1
more                                   2
practically                            1
family                                 1
request                                4
when                                   1
age                                    2
three                                  3
investigation                          1
grantor                                1
required                               1
credit                                34
3.451                                  1
such                                   6
consumers                              1
agencies                              12
employers                              2
transunion                             1
known                                  3
this                                   1
scale                                  1
other                                  4
have                                   1
highest                                1
one                                    2
from                                   8
online                                 1
was                                    1
share                                  1
details                                1
extent                                 1
equi                                   1
if                                     1
banking                                1
various                                1
judgments                              1
between                                1
major                                  1
forms                                  1
application                            1
is                                     7
with                                   1
governed                               1
potential                              1
agency                                 2
the                                   38
customers                              1
in                                     5
searches                               1
filling                                1
manual                                 1
two                                    1
address                                1
develops                               1
local                                  1
themselves                             1
act                                    2
their                                  4
also                                   3
first                                  1

Totals:                    264       613
