Token                          Frequency
-----------------------------  ---------
to                                     3
but                                    1
person                                 1
for                                    2
no                                     2
simplest                               1
by                                     1
been                                   1
has                                    1
after                                  1
of                                     1
help                                   1
hear                                   1
upfront                                1
references                             1
are                                    4
applications                           1
credit                                 3
be                                     1
information                            2
services                               1
occasionally                           1
victim                                 1
or                                     2
again                                  1
available                              1
favorite                               1
loan                                   3
few                                    1
and                                    3
not                                    1
fee                                    2
that                                   2
widely                                 1
promises                               1
company                                1
applicant                              1
will                                   1
pays                                   1
mailed                                 1
call                                   1
made                                   1
secure                                 1
from                                   1
$35                                    1
minute                                 1
paid                                   1
heard                                  1
numbers                                1
if                                     1
listener                               1
usually                                3
operators                              1
between                                1
checking                               1
regardless                             1
may                                    1
payment                                1
a                                      3
provides                               1
as                                     1
$40                                    1
the                                    9
debits                                 1
swaying                                1
in                                     1
up                                     1
loans                                  1
history                                1
which                                  1
charge                                 1
per                                    1
$75                                    1
there                                  1
an                                     1
$50                                    1
account                                1
method                                 1
scam                                   1
900                                    1
out                                    1

Totals:                     81       110
