Token                          Frequency
-----------------------------  ---------
for                                    3
developed                              1
noted                                  1
procee                                 1
tend                                   1
its                                    2
failing                                1
discharged                             1
of                                     5
are                                    1
nature                                 1
solely                                 1
criminal                               3
on                                     3
government                             1
voluntary                              2
right                                  1
these                                  1
consequences                           3
or                                     4
under                                  1
answer                                 1
job                                    1
questions                              1
reality                                1
many                                   1
proceeding                             2
warranted                              1
silence                                1
say                                    1
own                                    1
different                              1
silent                                 2
face                                   1
knowledge                              1
discloses                              1
subject                                1
secure                                 1
clear                                  1
surrounding                            1
remaining                              1
negligible                             1
compelled                              1
situation                              1
arises                                 1
may                                    4
a                                      2
cannot                                 2
remain                                 1
clearly                                1
public                                 1
part                                   1
warning                                2
to                                     7
but                                    2
individual                             1
both                                   1
answers                                2
by                                     1
used                                   2
evidentiary                            1
posed                                  1
his                                    2
facts                                  1
future                                 1
any                                    1
value                                  1
incriminate                            2
official                               1
investigation                          1
totally                                1
grounds                                1
be                                     5
wording                                1
however                                1
agencies                               1
and                                    2
investigations                         1
refuse                                 1
that                                   2
often                                  1
involving                              1
case                                   1
this                                   1
other                                  1
can                                    1
loss                                   1
have                                   2
evidence                               1
well                                   1
adverse                                2
considered                             1
cooperate                              2
hand                                   1
possible                               2
full                                   1
if                                     3
cooperation                            2
above                                  1
administrative                         2
employee                               1
with                                   1
is                                     3
attempting                             1
circumstances                          1
your                                   3
potential                              1
as                                     2
you                                    8
the                                   14
in                                     3
ding                                   1
anything                               1
an                                     3
actual                                 1
beckwith                               1
high                                   1
their                                  1
civiletti                              1
first                                  1
step                                   1

Totals:                    121       200
