Token                          Frequency
-----------------------------  ---------
analyzing                              1
chronologically                        1
store                                  2
external                               2
covering                               2
confessed                              1
particular                             3
parts                                  1
chance                                 1
party                                  1
spoke                                  2
until                                  1
missing                                3
story                                  8
nonverbal                              2
over                                   1
time                                   4
event                                 13
she                                    2
2011                                   5
something                              1
fraudster                              2
these                                  3
essential                              1
notion                                 1
told                                   1
offers                                 1
harmed                                 1
number                                 2
he                                    11
project                                1
swapping                               1
each                                   1
attribution                            1
insignificant                          1
raise                                  1
incidental                             1
drove                                  1
before                                 1
examines                               1
indicate                               1
examiner                               6
fraudulent                             2
repeating                              1
just-completed                         1
kidnapping                             1
fills                                  1
conversation                           2
verbs                                  2
mention                                1
do                                     1
tell                                   1
left                                   2
sheer                                  1
relationships                          1
checking                               1
ensure                                 1
look                                   1
may                                    2
max                                    1
7:00                                   2
girlfriend                             3
a                                     43
i                                     13
sit                                    1
register                               9
analyze                                1
improvised                             1
bolster                                1
what                                   6
accurately                             1
es                                     1
returned                               2
tightly                                1
body                                   1
precisely                              1
drop                                   1
change                                 1
tool                                   1
driving                                1
took                                   2
dialogue                               1
lead                                   1
by                                     9
has                                   10
who                                    3
superfluous                            1
balance                                1
describes                              1
facts                                  1
description                            1
choosing                               1
any                                    6
deceased                               1
embedding                              1
light                                  1
had                                    1
be                                    11
forced                                 1
seemingly                              1
textbook                               1
get                                    1
likely                                 9
german                                 1
stellar                                1
indicating                             3
replaced                               1
much                                   3
unsavory                               1
and                                   22
involved                               4
speech                                 2
items                                  2
often                                 11
examiners                              8
example                                6
make                                   1
misunderstood                          1
does                                   3
carefully                              1
driveway                               1
indication                             1
sentences                              3
through                                1
routine                                1
perceived                              1
analysis                               7
possible                               4
well-publicized                        1
generally                              2
statements                             1
questioning                            1
experience                             1
types                                  1
lends                                  1
carjacker                              1
spends                                 1
makes                                  1
at                                    11
as                                    18
equal                                  1
tracks                                 1
disrupt                                1
deceit                                 1
memory                                 1
main                                   1
shed                                   1
portions                               1
never                                  1
which                                  3
see                                    1
take                                   1
an                                    16
there                                  1
ect                                    1
prominent                              1
thoroughly                             1
they                                   2
appearance                             2
clues                                  2
no                                     2
determine                              2
unconsciously                          1
of                                    48
given                                  2
correct                                5
only                                   1
on                                     8
her                                    4
move                                   1
holes                                  1
reported                               1
structure                              1
or                                    20
identify                               1
hopes                                  1
criterion                              4
earlier                                1
thinking                               1
them                                   3
scattershot                            1
then                                   2
will                                  18
corrections                            1
incident                               6
upon                                   1
credibility                            1
different                              1
contextual                             1
fashion                                2
experiences                            1
self-incriminating                     1
subject                               44
moment                                 1
thought                                1
influence                              1
most                                   6
occurred                               1
short                                  2
unexpected                             1
distance                               1
unflattering                           1
allowing                               1
undetected                             1
boys                                   1
rather                                 2
situation                              7
criteria                               1
absolutely                             1
movie                                  3
my                                     9
reasoning                              1
interview                             18
recall                                 1
deceptive                              4
account                                2
within                                 1
force                                  1
telling                                5
fabricate                              2
closely                                1
described                              1
animated                               1
reveal                                 1
uncover                                1
being                                  5
reproduction                           1
fraud                                 15
honest                                 8
type                                   2
related                                3
almost                                 2
looks                                  1
more                                   3
wher                                   1
his                                    4
family                                 1
when                                  19
investigation                          5
certainly                              1
relates                                1
mesh                                   1
such                                   6
remembering                            1
describing                             1
statement                             11
dinner                                 2
pieces                                 1
called                                 1
this                                  15
recalled                               2
becomes                                1
theory                                 5
from                                   8
believe                                1
subj                                   1
was                                    7
father                                 1
while                                  1
able                                   2
if                                     5
between                                1
major                                  1
less                                   2
puzzle                                 1
application                            5
is                                    41
it                                     4
gives                                  1
important                              1
into                                   3
susan                                  2
past                                   4
daily                                  1
in                                    28
spend                                  1
two                                    1
away                                   2
balanced                               2
interviewer                            5
wife                                   2
interviewed                            1
discussed                              1
interviewee                           12
fabricated                             1
act                                    1
alterations                            1
also                                   3
breaking                               1
guenter                                1
technique                              1
understand                             1
pronouns                               3
exterior                               1
knew                                   1
deflect                                1
production                             1
occurs                                 1
spot                                   1
associate                              1
koehnken                               1
interruption                           1
exactly                                1
seat                                   1
interest                               1
quantity                               1
points                                 1
place                                  4
elements                               1
pardoning                              1
lying                                  2
ewee                                   1
how                                    4
shattered                              1
psychologists                          1
admitting                              1
