Token                          Frequency
-----------------------------  ---------
need                                   1
2008                                   1
2009                                   5
2007                                   1
store                                  1
external                               1
developed                              1
incurred                               1
particular                             1
visit                                  1
creates                                1
until                                  1
adopting                               1
missing                                1
becoming                               1
located                                1
laws                                  20
2011                                   6
virgin                                 1
2010                                   1
government                             2
these                                  3
private-                               1
parent                                 1
companies                              6
number                                 3
vulnerable                             1
transmission                           1
few                                    1
1                                      6
february                               1
authorities                            1
private-industry                       1
each                                   2
computer                               2
relies                                 1
typically                              2
unique                                 1
before                                 2
hartford                               1
315                                    1
examiner                               2
net                                    4
handling                               2
six                                    1
patient                                3
self-regulation                        1
interplay                              1
leave                                  1
guidelines                             1
consider                               1
do                                     2
left                                   1
affecting                              1
ensure                                 2
install                                1
look                                   1
safe                                   1
may                                    4
organizations                          4
a                                     28
facta                                  2
ones                                   1
standards                              6
new                                    3
including                              1
red                                    7
what                                   1
$50                                    1
safeguard                              1
electronically                         1
public                                 1
configuration                          1
banks                                  2
resources                              2
transactions                           5
physical                               1
mastercard                             1
114                                    1
congress                               1
basis                                  1
entity                                 1
regulations                            6
aware                                  1
stemming                               1
by                                    10
consumer                               2
information-privacy                    1
has                                    3
policies                               3
software                               1
pertaining                             1
strengthening                          1
estimated                              1
priority                               1
any                                    3
approximately                          1
unencrypted                            1
bank                                   1
be                                     2
primarily                              3
protections                            5
processes                              1
pci                                    8
financial                             23
claims                                 1
monitor                                1
passwords                              1
likely                                 1
protocols                              1
and                                   79
investigations                         2
particularly                           1
maximum                                1
examiners                              9
areas                                  1
example                                2
make                                   1
thing                                  1
clearinghouses                         1
collect                                1
update                                 1
insurance                              5
enforcement                            1
jcb                                    1
health-plan                            1
obtained                               1
department                             3
set                                    4
safeguards                             7
employer                               1
understanding                          1
enact                                  1
statistics                             1
enhance                                1
organization                           2
following                              2
possible                               1
chapter                                1
area                                   2
especially                             1
generally                              1
pay                                    1
employee                               1
types                                  2
members                                1
all                                    7
law                                   16
five                                   1
april                                  1
estimates                              1
at                                     1
as                                     7
compromised                            3
therefore                              1
never                                  1
which                                 10
connecticut                            2
see                                    1
an                                     3
suit                                   1
cardholder                             6
approach                               2
categories                             1
why                                    1
they                                   5
concern                                1
liability                              2
$25,000                                1
determine                              1
consumer-protection                    1
complying                              1
permitted                              1
of                                    61
help                                   2
social                                 1
respond                                2
on                                     7
only                                   2
programs                               1
creating                               1
reported                               1
final                                  1
consequences                           1
services                               2
numerous                               1
or                                    17
identify                               3
privacy                               22
puerto                                 1
establishing                           1
health                                39
include                                1
abuses                                 1
escalated                              1
operating                              2
experienced                            1
month                                  1
will                                   1
disclosure                             1
anti-virus                             1
delay                                  1
attorney                               1
records                                2
governs                                1
different                              1
plans                                  1
reportedly                             1
columbia                               1
broad                                  1
disclosing                             1
subject                                4
most                                   5
express                                1
protect                                7
addressing                             1
marshalls                              1
across                                 2
violations                             1
brands                                 1
explaining                             1
compelled                              1
clinical                               3
counsel                                2
note                                   1
similar                                1
september                              1
held                                   1
schemes                                1
waited                                 1
illustrate                             1
$250                                   1
per                                    2
additional                             1
diligence                              1
account                                2
finance                                1
force                                  1
settle                                 1
$100,000                               1
conversely                             1
design                                 1
filed                                  1
data-breach                            1
apply                                  3
technology                             3
integrity                              1
u.s                                    1
contains                               1
authorization                          1
accountability                         3
type                                   1
fraud                                 17
where                                  1
procedures                             2
t.j                                    1
related                                7
regularly                              2
provisions                             1
more                                   5
when                                   1
action                                 1
applications                           1
required                               2
credit                                 6
mandated                               1
relates                                2
2.270                                  1
november                               1
challenges                             2
appropriate                            1
such                                   3
fines                                  2
issued                                 1
consumers                              2
unreasonable                           1
requires                               2
copies                                 1
flag                                   6
issues                                 1
involving                              2
www.ncsl.org                           1
class-action                           1
included                               1
this                                   9
2.272                                  1
2.271                                  1
hr                                     3
accomplish                             1
lost                                   1
loss                                   3
becomes                                1
from                                   7
