Token                          Frequency
-----------------------------  ---------
to                                     6
person                                 1
percent                                1
reluctant                              1
for                                    1
no                                     1
overcome                               2
become                                 1
show                                   1
by                                     1
study                                  1
studies                                1
contrast                               1
of                                     4
danger                                 1
contacted                              2
are                                    1
more                                   2
when                                   3
request                                1
none                                   1
resistance                             3
only                                   1
interviewers                           1
be                                     3
topic                                  1
respondent                             3
connection                             1
such                                   1
how                                    1
likely                                 1
possibility                            1
always                                 1
and                                    2
many                                   1
unpleasant                             1
that                                   5
refuse                                 3
them                                   1
one-third                              1
will                                   5
examples                               1
try                                    1
feelings                               1
upon                                   1
might                                  1
result                                 1
respondents                            2
specific                               1
have                                   1
one                                    1
encountered                            1
dealing                                1
perceive                               1
defensive                              1
following                              1
complete                               1
if                                     1
65                                     1
types                                  1
with                                   2
is                                     5
it                                     1
a                                      3
as                                     3
the                                   15
inexperienced                          1
in                                     2
interviewer                            4
interview                              3
concluded                              1
there                                  3
an                                     1
interviewed                            1
incumbent                              1
first                                  1
telephone                              1

Totals:                     77       139
