Token                          Frequency
-----------------------------  ---------
to                                     4
auditor                                1
passed                                 1
for                                    2
external                               1
no                                     1
by                                     1
accounting                             1
fraud                                  4
procurement                            1
has                                    1
procedures                             1
beyond                                 1
auditors                               2
of                                     3
inadequate                             1
are                                    3
assistant                              1
government                             1
commercial                             1
financial                              1
reports                                1
situations                             1
reviews                                1
appropriate                            1
contract                               2
or                                     3
incomes                                1
bad                                    1
explains                               1
director                               1
few                                    2
and                                    4
that                                   1
system                                 1
cost-type                              1
branch                                 1
contractors                            1
own                                    1
reporting                              1
lifestyles                             1
records                                2
management                             1
dcaa                                   6
large                                  1
audits                                 1
timekeeping                            1
dominated                              1
investigative                          1
one                                    1
fixed-price                            1
from                                   1
lavish                                 1
controls                               1
authority                              1
federal                                1
if                                     1
usually                                1
contracts                              3
trained                                1
internal                               2
counsel                                1
individuals                            2
look                                   1
defense                                2
•                                      9
is                                     2
with                                   2
it                                     1
a                                      3
poor                                   2
assigned                               1
audit                                  3
agency                                 2
the                                    5
suppliers                              1
mix                                    1
essentially                            1
subpoena                               1
manual                                 1
background                             1
an                                     1
there                                  1
dod                                    1
suspected                              1
their                                  2

Totals:                     86       137
