Token                          Frequency
-----------------------------  ---------
summary                                1
understand                             1
for                                    5
court                                  3
its                                    2
party                                  1
of                                     4
help                                   1
created                                1
event                                  1
2011                                   1
information                            1
or                                     1
again                                  1
available                              1
create                                 1
fair                                   1
not                                    3
visual                                 1
some                                   1
complex                                1
offered                                1
simple                                 1
purposes                               1
made                                   1
aid                                    1
easy                                   1
truth                                  1
demonstrative                          8
simplify                               1
jury                                   2
trial                                  1
purely                                 1
just                                   1
extremely                              1
may                                    1
cases                                  1
a                                      5
admissible                             1
material                               1
illustrate                             1
produced                               1
exhibit                                2
charts                                 1
point                                  1
fact                                   1
what                                   1
item                                   1
unduly                                 1
part                                   1
decides                                1
to                                     9
but                                    1
provide                                1
show                                   1
type                                   1
used                                   2
proposition                            1
fraud                                  2
must                                   3
differs                                1
basic                                  1
value                                  1
underlying                             1
useful                                 1
be                                     5
such                                   1
presents                               1
and                                    7
picture                                1
that                                   6
examiners                              1
tangible                               1
other                                  1
illustrative                           1
evidence                              14
purpose                                1
from                                   1
complicated                            1
includes                               1
real                                   1
order                                  1
if                                     2
summaries                              1
law                                    1
2.708                                  1
is                                     9
it                                     5
authenticated                          1
refers                                 1
the                                   11
principles                             1
in                                     4
manual                                 1
balanced                               1
illustrates                            1
prejudicial                            1
an                                     1
claimed                                1
also                                   1
graphs                                 1
specifically                           1

Totals:                    102       193
