Token                          Frequency
-----------------------------  ---------
insurance                              1
to                                     1
metropolitan                           1
department                             1
data                                   1
related                                1
of                                     2
medical                                1
are                                    1
affairs                                1
offices                                1
located                                1
nonrestrictive                         1
pensions                               1
tuition                                1
disability                             1
va                                     1
throughout                             1
at                                     1
the                                    1
in                                     1
country                                1
and                                    1
loans                                  1
veterans                               1
regional                               1
payments                               2
areas                                  1
several                                1
records                                1
maintained                             1

Totals:                     31        33
