Token                          Frequency
-----------------------------  ---------
analyzing                              1
they                                   1
for                                    5
treatment                              1
people                                 1
of                                     6
substrates                             1
evident                                1
are                                    2
comparisons                            1
located                                1
2011                                   1
on                                     3
detected                               1
black                                  1
form                                   1
identify                               1
alert                                  1
or                                     2
like                                   1
many                                   1
ownership                              1
counterfeits                           3
will                                   1
fonts                                  1
some                                   1
different                              3
expert                                 1
might                                  1
fashion                                1
most                                   1
use                                    1
instances                              1
differences                            1
document                               8
genuine                                6
numbers                                2
superimposed                           1
filled-in                              1
look                                   1
experts                                1
typestyles                             1
detecting                              1
documents                              2
a                                      3
history                                1
process                                1
background                             1
original                               2
printed                                1
revisions                              1
design                                 1
sizes                                  1
to                                     1
but                                    1
latent                                 1
retouching                             3
sometimes                              1
differentiations                       1
by                                     3
identified                             1
fraud                                  1
reproduction                           1
used                                   3
type                                   1
where                                  1
handled                                1
subtle                                 1
has                                    1
been                                   1
who                                    1
were                                   1
when                                   1
investigation                          1
be                                     5
processes                              1
text                                   3
formulations                           1
colors                                 1
printing                               1
positively                             1
comparison                             1
and                                    7
ink                                    3
that                                   1
side-by-side                           1
fingerprints                           1
areas                                  1
examiners                              2
make                                   1
this                                   1
brilliance                             1
other                                  1
can                                    4
specific                               1
paper                                  2
evidence                               1
counterfeiter                          3
substrate                              1
tracing                                1
possible                               1
3.122                                  1
especially                             1
if                                     1
reconstruct                            1
corresponding                          1
making                                 1
types                                  1
between                                1
appeared                               1
with                                   3
it                                     1
the                                   20
in                                     7
manual                                 1
versions                               1
portions                               1
furnished                              1
determined                             1
removed                                1
suspected                              1
serial                                 2
also                                   1
forensic                               1

Totals:                    124       213
