Token                          Frequency
-----------------------------  ---------
suspicious                             1
they                                   2
appear                                 1
examine                                1
stamped                                1
for                                    6
accept                                 2
checks                                 6
customer                               1
of                                    18
are                                    2
on                                     7
2011                                   1
year                                   2
signature                              1
reflective                             1
copy                                   1
opened                                 1
information                            2
preventing                             1
one-                                   1
patterns                               1
extra                                  1
teller                                 1
or                                     8
identify                               1
possibly                               1
number                                 1
bad                                    1
not                                    6
postdated                              1
30                                     1
month                                  1
right-hand                             1
codes                                  1
400                                    1
magnetic                               2
?                                      3
fonts                                  1
instruments                            1
different                              1
might                                  1
lettering                              1
behavior                               1
use                                    1
techniques                             1
date                                   2
fraudulent                             1
training                               1
personal                               1
erasures                               2
easy                                   1
times                                  1
numbers                                1
recognize                              2
forged/altered                         1
written                                3
do                                     2
aggressive                             1
notice                                 3
district                               1
look                                   3
logo                                   1
•                                     22
corner                                 1
non-local                              1
signed                                 1
absence                                3
a                                      6
90                                     1
1,500                                  1
1.1009                                 1
access                                 1
should                                 4
mix                                    1
familiar                               1
days                                   1
what                                   1
background                             1
account                                2
micr                                   2
legibly                                1
overly                                 1
telephone                              1
accuracy                               1
design                                 1
reflect                                1
visibly                                1
coding                                 1
polite                                 1
to                                     7
transactions                           1
old                                    2
percent                                1
front-line                             1
by                                     1
aware                                  7
fraud                                  3
used                                   3
must                                   1
related                                1
caused                                 1
requests                               1
more                                   1
any                                    2
care                                   1
card                                   2
bank                                   5
positive                               1
credit                                 1
discolorations                         1
be                                    10
financial                              1
non-                                   1
nervous                                1
symbol                                 1
colors                                 1
font                                   1
dated                                  1
printing                               1
ink                                    2
and                                    9
written-over                           1
that                                   8
failure                                1
amounts                                1
detection                              1
than                                   3
perforated                             1
due                                    1
examiners                              1
require                                1
match                                  1
day                                    1
odd                                    1
does                                   1
acceptable                             1
satisfactorily                         1
have                                   2
paper                                  1
negotiable                             1
routing                                3
from                                   2
hurried                                1
forged                                 1
typed                                  1
business                               2
was                                    1
cautious                               1
upper                                  1
officer                                1
edges                                  1
culprits                               1
if                                     3
name                                   2
below                                  1
toner                                  1
receive                                1
drawn                                  1
less                                   2
defense                                1
is                                     8
with                                   2
it                                     5
accounts                               1
dull                                   1
check                                 11
regular                                1
important                              1
approval                               1
at                                     1
stains                                 1
potential                              1
the                                   29
in                                     6
print                                  2
manual                                 1
examining                              1
color                                  1
address                                2
identification                         2
tellers                                1
necessary                              1
alterations                            1
cashier                                1

Totals:                    185       398
