Token                          Frequency
-----------------------------  ---------
they                                   3
for                                    4
received                               3
checks                                 1
whether                                1
reversing                              1
of                                     1
are                                    3
given                                  1
sales                                  1
on                                     1
preparing                              1
responsibility                         1
these                                  2
or                                     3
include                                1
not                                    2
earlier                                1
them                                   1
codes                                  1
counts                                 1
some                                   1
made                                   1
secure                                 1
tape                                   1
watched                                1
paid                                   1
agreeing                               1
money                                  1
worker                                 1
notice                                 1
frequently                             1
kept                                   1
ensure                                 1
•                                      6
payment                                1
responsible                            2
cases                                  1
a                                      2
access                                 2
should                                 1
supervised                             1
register                               8
either                                 1
concealment                            1
documentation                          1
account                                1
agree                                  1
banks                                  1
closely                                1
to                                     4
methods                                2
transactions                           1
count                                  1
sometimes                              1
revealed                               1
by                                     1
must                                   4
been                                   1
who                                    1
personnel                              1
when                                   1
credit                                 2
be                                     5
appropriate                            1
and                                    7
properly                               1
that                                   2
detection                              1
than                                   1
popular                                1
cash                                   5
does                                   1
alteration                             1
other                                  1
have                                   4
destruction                            1
thefts                                 1
from                                   1
through                                1
complaints                             1
complete                               1
employee                               1
monitored                              1
mail                                   1
completing                             1
with                                   1
is                                     2
it                                     1
delivered                              1
important                              2
at                                     2
as                                     1
inquiries                              1
the                                    8
tasks                                  1
customers                              1
in                                     2
informed                               1
sheets                                 1
an                                     2
timely                                 1
manner                                 1
totals                                 1
discussed                              1
their                                  1
also                                   1
employees                              1

Totals:                    108       174
