Token                          Frequency
-----------------------------  ---------
to                                     3
determine                              2
by                                     1
fraud                                  5
has                                    2
whether                                1
of                                     1
occurring                              1
useful                                 1
however                                1
under                                  1
putting                                1
investigate                            1
not                                    1
that                                   1
detection                              1
areas                                  3
does                                   1
assessing                              1
can                                    1
increased                              1
perception                             1
conclusively                           1
techniques                             1
occurred                               2
risk                                   2
area                                   1
if                                     1
mean                                   1
develop                                1
scrutiny                               1
fraudsters                             1
identifying                            1
activity                               1
is                                     2
deter                                  1
as                                     1
potential                              1
increasing                             1
the                                    1
proactively                            1
addition                               1
in                                     5
fact                                   1
high-risk                              2
an                                     1
there                                  1
having                                 1
high                                   1
their                                  1
assessment                             1

Totals:                     51        69
